,ActivityCategory,ActivityName,LocationType,Name,Category,Code,Aggregation,Units,ReportingFrequency,mandatory,FormFieldType,AttributeValue,multipleAllowed,Description,sort
819,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Host Community Women (Age 18 and above)- in Female Headed Household receiving assistance,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
817,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17)- in Female Headed Household receiving assistance,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
816,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17)- in Female Headed Household receiving assistance,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
818,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above)- in Female Headed Household receiving assistance,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
815,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above)- in Female Headed Household receiving assistance,#of indv. in FHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
830,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Host Community Boys (Age 0-17)- in Male Headed Household receiving assistance,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
829,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Host Community Girls (Age 0-17)- in Male Headed Household receiving assistance,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
831,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Host Community Men (Age 18 and above)- in Male Headed Household receiving assistance,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
828,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Host Community Women (Age 18 and above)- in Male Headed Household receiving assistance,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
826,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17)- in Male Headed Household receiving assistance,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
825,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17)- in Male Headed Household receiving assistance,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
827,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above)- in Male Headed Household receiving assistance,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
824,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above)- in Male Headed Household receiving assistance,#of indv. in MHH,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
812,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,# of FHH assisted,Indicator,,0,# of case,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
813,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,# of MHH assisted,Indicator,,0,# of case,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
,BASIC NEEDS[1]Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",SyrRefRespRRP6,Total Amount distributed this month in USD,,,,,,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
840,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
839,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
841,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
838,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
848,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Host Community Boys (Age 0-17)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
847,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Host Community Girls (Age 0-17)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
849,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Host Community Men (Age 18 and above)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
846,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Host Community Women (Age 18 and above)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
844,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
843,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
845,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
842,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above)- in Female Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
840,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
839,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
841,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
838,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
848,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Host Community Boys (Age 0-17)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
847,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Host Community Girls (Age 0-17)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
849,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Host Community Men (Age 18 and above)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
846,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Host Community Women (Age 18 and above)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
844,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
843,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
845,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
842,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above)- in Male Headed Household receiving seasonal assistance,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
834,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,# of FHH receiving seasonal assistance,Indicator,,0,# of case,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
835,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,# of MHH receiving seasonal assistance,Indicator,,0,# of case,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
835,BASIC NEEDS[1]Basic HH Needs are met,[REF1.4]Seasonal Assist for Harsh Weather,SyrRefRespRRP6,Total Amount distributed this month in USD,Indicator,,0,# of case,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1855,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1854,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1856,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1853,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1863,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Host Community Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1862,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Host Community Girls (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1864,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Host Community Men (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1861,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Host Community Women (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1859,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1858,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1860,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1857,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1852,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.1]Housing units for vuln. Jordanians,SyrRefRespRRP6,# of houses constructed or purchased,Indicator,,0,# of houses,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1870,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1869,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1871,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1868,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1878,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Host Community Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1877,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Host Community Girls (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1879,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Host Community Men (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1876,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Host Community Women (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1874,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1873,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1875,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1872,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1867,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.2]Disability Rehab. Centres,SyrRefRespRRP6,# of centres (shelters) established,Indicator,,0,# of centres,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1884,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1883,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1885,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1882,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1892,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Host Community Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1891,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Host Community Girls (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1893,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Host Community Men (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1890,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Host Community Women (Age 18 and above),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1888,BASIC NEEDS[2]Social Prot/Poverty Alleviation,[RES2.3]Review NAF/Zakat targeting,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17),Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
