"","old","new"
"106","improved knowledge in hygiene and water conservation","improved knowledge in hygiene and water conservation"
"107","improved sanitation","improved sanitation"
"108","in Jordanian public schools (primary and secondary)","in Jordanian public schools (primary and secondary)"
"109","in psychosocial first aid (PFA)","in psychosocial first aid (PFA)"
"110","ing assistive tools or devices","ing assistive tools or devices"
"111","ing food assistance","ing food assistance"
"112","ing in awareness sessions or receiving information about services","ing in awareness sessions or receiving information about services"
"113","ing legal awareness sessions on civil status documentation","ing legal awareness sessions on civil status documentation"
"114","ing legal information, counselling and/or representation","ing legal information, counselling and/or representation"
"115","ing rehabilitation sessions","ing rehabilitation sessions"
"116","interization packages","interization packages"
"117","ional cash for rent assistance","ional cash for rent assistance"
"118","ipated in hygiene sessions","ipated in hygiene sessions"
"119","ipating in awareness sessions or receiving information about services","ipating in awareness sessions or receiving information about services"
"120","ISABILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)","ISABILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)"
"121","ISABILITIES benefiting from livelihood projects","ISABILITIES benefiting from livelihood projects"
"122","issues, services available and referral pathway (including inter-agency information campaigns)","issues, services available and referral pathway (including inter-agency information campaigns)"
"123","it from remedial classes","it from remedial classes"
"124","itation sessions","itation sessions"
"125","ith lifesaving, secondary and tertiary care","ith lifesaving, secondary and tertiary care"
"126","ith support towards basic needs","ith support towards basic needs"
"127","ith winterization packages","ith winterization packages"
"128","iting from livelihood projects","iting from livelihood projects"
"129","itting from services of the Sharia Courts in camps","itting from services of the Sharia Courts in camps"
"130","ivelihood projects","ivelihood projects"
"131","ividual education kits (school bags, uniform and stationery)","ividual education kits (school bags, uniform and stationery)"
"132","ized on CP issues, services available and referral pathway (including inter-agency information campaigns)","ized on CP issues, services available and referral pathway (including inter-agency information campaigns)"
"133","ized on SGBV core principles and referral pathways","ized on SGBV core principles and referral pathways"
"134","led with IRIS scan","led with IRIS scan"
"135","legal information, counselling and/or representation","legal information, counselling and/or representation"
"136","lenishment/replacement kits","lenishment/replacement kits"
"137","m remedial classes","m remedial classes"
"138","m schools which promote social cohesion","m schools which promote social cohesion"
"139","mary education services","mary education services"
"140","materials","materials"
"141","members of community /refugee/CP committees trained on child protection issues","members of community /refugee/CP committees trained on child protection issues"
"142","mproved knowledge in best hygiene practices","mproved knowledge in best hygiene practices"
"143","n awareness sessions or receiving information about services","n awareness sessions or receiving information about services"
"144","n good nutritional practices","n good nutritional practices"
"145","n psychosocial first aid (PFA)","n psychosocial first aid (PFA)"
"146","nal cash for rent assistance","nal cash for rent assistance"
"147","ndividual education kits (school bags, uniform and stationery)","ndividual education kits (school bags, uniform and stationery)"
"148","ned in psychosocial first aid (PFA)","ned in psychosocial first aid (PFA)"
"149","nformation, counselling and/or representation","nformation, counselling and/or representation"
"150","ng from schools which promote social cohesion","ng from schools which promote social cohesion"
"151","ng from services of the Sharia Courts in camps","ng from services of the Sharia Courts in camps"
"152","nian public schools (primary and secondary)","nian public schools (primary and secondary)"
"153","NITY","NITY"
"154","NITY  who accessed services through specialized assistance and follow-up (i.e. via referrals)","NITY  who accessed services through specialized assistance and follow-up (i.e. via referrals)"
"155","NITY accessing pre-primary education services","NITY accessing pre-primary education services"
"156","NITY benefiting from CSPs","NITY benefiting from CSPs"
"157","NITY benefiting from livelihood projects","NITY benefiting from livelihood projects"
"158","NITY benefitting from schools which promote social cohesion","NITY benefitting from schools which promote social cohesion"
"159","NITY participating in awareness sessions or receiving information about services","NITY participating in awareness sessions or receiving information about services"
"160","NITY provided with lifesaving, secondary and tertiary care","NITY provided with lifesaving, secondary and tertiary care"
"161","NITY provided with support towards basic needs","NITY provided with support towards basic needs"
"162","NITY provided with winterization packages","NITY provided with winterization packages"
"163","NITY receiving assistive tools or devices","NITY receiving assistive tools or devices"
"164","NITY receiving food assistance","NITY receiving food assistance"
"165","NITY receiving legal information, counselling and/or representation","NITY receiving legal information, counselling and/or representation"
"166","NITY receiving rehabilitation sessions","NITY receiving rehabilitation sessions"
"167","NITY sensitized on CP issues, services available and referral pathway (including inter-agency information campaigns)","NITY sensitized on CP issues, services available and referral pathway (including inter-agency information campaigns)"
"168","NITY sensitized on SGBV core principles and referral pathways","NITY sensitized on SGBV core principles and referral pathways"
"169","NITY survivors of SGBV  who access case management and multi-sectoral services","NITY survivors of SGBV  who access case management and multi-sectoral services"
"170","NITY who benefit from remedial classes","NITY who benefit from remedial classes"
"171","NITY with acceptable food consumption","NITY with acceptable food consumption"
"172","NITY WITH DISABILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)","NITY WITH DISABILITIES  who accessed services through specialized assistance and follow-up (i.e. via referrals)"
"173","NITY WITH DISABILITIES benefiting from livelihood projects","NITY WITH DISABILITIES benefiting from livelihood projects"
"174","NITY with safe access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)","NITY with safe access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)"
"175","nowledge in best hygiene practices","nowledge in best hygiene practices"
"176","of SGBV  who access case management and multi-sectoral services","of SGBV  who access case management and multi-sectoral services"
"177","ood assistance","ood assistance"
"178","ood consumption","ood consumption"
"179","oved knowledge in hygiene and water conservation","oved knowledge in hygiene and water conservation"
"180","P issues, services available and referral pathway (including inter-agency information campaigns)","P issues, services available and referral pathway (including inter-agency information campaigns)"
"181","port towards basic needs","port towards basic needs"
"182","pre-primary education services","pre-primary education services"
"183","proved conditions","proved conditions"
"184","proved sanitation","proved sanitation"
"185","ptable food consumption","ptable food consumption"
"186","registration","registration"
"187","rehabilitation sessions","rehabilitation sessions"
"188","remedial classes","remedial classes"
"189","rimary education services","rimary education services"
"190","rmal education)","rmal education)"
"191","rt towards basic needs","rt towards basic needs"
"192","s and members of community /refugee/CP committees trained on child protection issues","s and members of community /refugee/CP committees trained on child protection issues"
"193","s refugee volunteers","s refugee volunteers"
"194","S scan","S scan"
"195","s to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)","s to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)"
"196","safe access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)","safe access to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)"
"197","safe drinking water based on minimum standards","safe drinking water based on minimum standards"
"198","schools which promote social cohesion","schools which promote social cohesion"
"199","sed services through specialized assistance and follow-up (i.e. via referrals)","sed services through specialized assistance and follow-up (i.e. via referrals)"
"200","services of the Sharia Courts in camps","services of the Sharia Courts in camps"
"201","sistance","sistance"
"202","SPs","SPs"
"203","ss to safe wastewater management","ss to safe wastewater management"
"204","ssed services through specialized assistance and follow-up (i.e. via referrals)","ssed services through specialized assistance and follow-up (i.e. via referrals)"
"205","supplies","supplies"
"206","t from remedial classes","t from remedial classes"
"207","table food consumption","table food consumption"
"208","ted in the sessions","ted in the sessions"
"209","teers and members of community /refugee/CP committees trained on child protection issues","teers and members of community /refugee/CP committees trained on child protection issues"
"210","terization packages","terization packages"
"211","the awareness sessions","the awareness sessions"
"212","the sessions","the sessions"
"213","ting for improved conditions","ting for improved conditions"
"214","ting from CSPs","ting from CSPs"
"215","ting from livelihood projects","ting from livelihood projects"
"216","ting in awareness sessions or receiving information about services","ting in awareness sessions or receiving information about services"
"217","ting in the awareness sessions","ting in the awareness sessions"
"218","tive tools or devices","tive tools or devices"
"219","tized on CP issues, services available and referral pathway (including inter-agency information campaigns)","tized on CP issues, services available and referral pathway (including inter-agency information campaigns)"
"220","tized on SGBV core principles and referral pathways","tized on SGBV core principles and referral pathways"
"221","to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)","to sustained and structured psycho-social support activities (IASC 2 and 3) (camp/urban/other affected pop)"
"222","upport towards basic needs","upport towards basic needs"
"223","utritional practices","utritional practices"
"224","V core principles and referral pathways","V core principles and referral pathways"
"225","valid UNHCR registration","valid UNHCR registration"
"226","ve tools or devices","ve tools or devices"
"227","ved hygiene materials","ved hygiene materials"
"228","vices through specialized assistance and follow-up (i.e. via referrals)","vices through specialized assistance and follow-up (i.e. via referrals)"
"229","ving assistive tools or devices","ving assistive tools or devices"
"230","ving cash-for-work","ving cash-for-work"
"231","ving food assistance","ving food assistance"
"232","ving rehabilitation sessions","ving rehabilitation sessions"
"233","vors of SGBV  who access case management and multi-sectoral services","vors of SGBV  who access case management and multi-sectoral services"
"234","wareness sessions on civil status documentation","wareness sessions on civil status documentation"
"235","water based on minimum standards","water based on minimum standards"
"236","with IRIS scan","with IRIS scan"
"237","with lifesaving, secondary and tertiary care","with lifesaving, secondary and tertiary care"
"238","with new arrival kits","with new arrival kits"
"239","with replenishment/replacement kits","with replenishment/replacement kits"
"240","with winterization packages","with winterization packages"
"241","wledge in best hygiene practices","wledge in best hygiene practices"
"242","wledge in hygiene and water conservation","wledge in hygiene and water conservation"
"243","ychosocial first aid (PFA)","ychosocial first aid (PFA)"
"244","ygiene sessions","ygiene sessions"
