mon,sort,na,aggmonit,aggmonit2,aggtarget,indicatorName,activityName,sect,ob,indicatorId.x,indicatorId.y,activityCategory.x,indicatorCategory.x,aggregation.x,units.x,reportingFrequency.x,locationTypeName.x,activityId.x,databaseId.x.x,indicatorCode.x,objective.x,sector.x,Category.x,activity2.x,activityCategory.y,indicatorCategory.y,aggregation.y,units.y,reportingFrequency.y,locationTypeName.y,activityId.y,databaseId.x.y,indicatorCode.y,objective.y,sector.y,Category.y,activity2.y
yes,no,,,,,Camps Syrian Men (Age 18 and above)- in Female Headed Household receiving HH Items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,2146392228,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14244,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp),,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Men (Age 18 and above)- in Male Headed Household receiving HH Items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,2146392232,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14244,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp),,,,,,,,,,,,,
no,tosort,,,,,Camps Syrian Women (Age 18 and above),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,86391,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
no,tosort,,,,,Camps Syrian Women (Age 18 and above),[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,,88289,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9703,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp)
yes,no,,,,,Camps Syrian Women (Age 18 and above)- in Female Headed Household receiving HH Items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,2146392229,,BASIC NEEDS[1]Basic HH Needs are met,# of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14244,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp),,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Women (Age 18 and above)- in Male Headed Household receiving HH Items,[REF1.1]Provision of NFIs/Vouchers (Camp),BASIC NEEDS,Basic HH Needs are met,2146392233,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14244,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers (Camp),,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Boys (Age 0-17)- in Female Headed Household receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen,BASIC NEEDS,Basic HH Needs are met,2146392234,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14245,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen,,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Boys (Age 0-17)- in Male Headed Household receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen,BASIC NEEDS,Basic HH Needs are met,2146392238,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14245,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen,,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Girls (Age 0-17)- in Female Headed Household receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen,BASIC NEEDS,Basic HH Needs are met,2146392235,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14245,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen,,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Girls (Age 0-17)- in Male Headed Household receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen,BASIC NEEDS,Basic HH Needs are met,2146392239,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14245,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen,,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Men (Age 18 and above)- in Female Headed Household receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen,BASIC NEEDS,Basic HH Needs are met,2146392236,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14245,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen,,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Men (Age 18 and above)- in Male Headed Household receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen,BASIC NEEDS,Basic HH Needs are met,2146392240,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14245,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen,,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Women (Age 18 and above)- in Female Headed Household receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen,BASIC NEEDS,Basic HH Needs are met,2146392237,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14245,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen,,,,,,,,,,,,,
yes,no,,,,,Camps Syrian Women (Age 18 and above)- in Male Headed Household receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen,BASIC NEEDS,Basic HH Needs are met,2146392241,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14245,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen,,,,,,,,,,,,,
no,tosort,,,,,# of FHH receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,89022,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,# of individuals in FHH receiving replenishment of consumable HH items (disaggregated by WGBM),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,86380,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,# of individuals in MHH receiving replenishment of consumable HH items (disaggregated by WGBM),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,89024,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,# of MHH receiving replenishment of consumable HH items,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,89021,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,out,,,,,% already funded? Enter % of financial requirements that are already funded (100% if fully funded; 0% if not yet funded) *,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,87473,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,Budget,0,%,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,out,,,,,Budgetary Requirement for 2015,[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,86378,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,Budget,0,USD $,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,Camps Syrian Boys (Age 0-17),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,86367,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,Camps Syrian Boys (Age 0-17),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,89027,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,Camps Syrian Girls (Age 0-17),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,86370,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,Camps Syrian Girls (Age 0-17),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,89026,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,Camps Syrian Men (Age 18 and above),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,86373,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,Camps Syrian Men (Age 18 and above),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,89028,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,Camps Syrian Women (Age 18 and above),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,89023,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
no,tosort,,,,,Camps Syrian Women (Age 18 and above),[REF1.2]Provision of NFIs/Vouchers for Replen.(Camps),BASIC NEEDS,Basic HH Needs are met,,89025,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9702,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,Provision of NFIs/Vouchers for Replen.(Cam
yes,yes,,,,,# of FHH assisted,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,2146392259,86416,BASIC NEEDS[1]Basic HH Needs are met,Indicator,0,# of case,1,SyrRefRespRRP6,14246,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln.",BASIC NEEDS[1]Basic HH Needs are met,Indicator,0,# of case,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,tosort,,,,,# of individuals in FHH receiving assistance (disaggregated by WGBM),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,86418,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,tosort,,,,,# of individuals in MHH receiving assistance (disaggregated by WGBM),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,86419,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
yes,yes,,,,,# of MHH assisted,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,2146392260,86417,BASIC NEEDS[1]Basic HH Needs are met,Indicator,0,# of case,1,SyrRefRespRRP6,14246,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln.",BASIC NEEDS[1]Basic HH Needs are met,Indicator,0,# of case,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,out,,,,,% already funded? Enter % of financial requirements that are already funded (100% if fully funded; 0% if not yet funded) *,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,87474,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,Budget,0,%,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,out,,,,,Budgetary Requirement for 2015,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,86414,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,Budget,0,USD $,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,tosort,,,,,Host Community Boys (Age 0-17),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,86402,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,tosort,,,,,Host Community Boys (Age 0-17),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,89035,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
yes,no,,,,,Host Community Boys (Age 0-17)- in Female Headed Household receiving assistance,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,2146392243,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14246,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln.",,,,,,,,,,,,,
yes,no,,,,,Host Community Boys (Age 0-17)- in Male Headed Household receiving assistance,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,2146392251,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14246,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln.",,,,,,,,,,,,,
no,tosort,,,,,Host Community Girls (Age 0-17),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,86405,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,tosort,,,,,Host Community Girls (Age 0-17),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,89034,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
yes,no,,,,,Host Community Girls (Age 0-17)- in Female Headed Household receiving assistance,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,2146392244,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14246,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln.",,,,,,,,,,,,,
yes,no,,,,,Host Community Girls (Age 0-17)- in Male Headed Household receiving assistance,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,2146392252,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14246,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln.",,,,,,,,,,,,,
no,tosort,,,,,Host Community Men (Age 18 and above),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,86408,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,tosort,,,,,Host Community Men (Age 18 and above),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,89036,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
yes,no,,,,,Host Community Men (Age 18 and above)- in Female Headed Household receiving assistance,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,2146392245,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef,1,SyrRefRespRRP6,14246,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln.",,,,,,,,,,,,,
yes,no,,,,,Host Community Men (Age 18 and above)- in Male Headed Household receiving assistance,"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,2146392253,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef,1,SyrRefRespRRP6,14246,2300,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln.",,,,,,,,,,,,,
no,tosort,,,,,Host Community Women (Age 18 and above),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,86411,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in FHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
no,tosort,,,,,Host Community Women (Age 18 and above),"[REF1.3]Cash,Vouchers for most vuln.",BASIC NEEDS,Basic HH Needs are met,,89033,,,,,,,,,,,,,,BASIC NEEDS[1]Basic HH Needs are met,#of indv. in MHH,0,# of benef.,0,SyrRefRespRRP6,9704,1662,,Basic HH Needs are met,BASIC NEEDS,Refugee,"Cash,Vouchers for most vuln."
