"","old","new"
"38","# in FHH receiving financial assistance","# in FHH receiving financial assistance"
"39","# in MHH receiving financial assistance","# in MHH receiving financial assistance"
"40","# of antenatal care visits provided","# of antenatal care visits provided"
"41","# of beneficiaries receiving assistance and household food consumption improved","# of beneficiaries receiving assistance and household food consumption improved"
"42","# of consultations provided on secondary mental health","# of consultations provided on secondary mental health"
<<<<<<< HEAD
"43","# of newly arriving Syrian refugees receiving welcome meals and / or welcome vouchers","# of newly arriving Syrian refugees receiving welcome meals and / or welcome vouchers"
"44","# of other child protection cases provided with multi-sectoral services","# of other child protection cases provided with multi-sectoral services"
"45","# of people benefitting from existing shelters and associated facilities upgraded","# of people benefitting from existing shelters and associated facilities upgraded"
"46","# of people benefitting from sealing off kits","# of people benefitting from sealing off kits"
"47","# of people provided with emergency shelters","# of people provided with emergency shelters"
"48","# of people provided with semi-permanent shelters","# of people provided with semi-permanent shelters"
"49","# of people receiving conditional cash for rent assistance","# of people receiving conditional cash for rent assistance"
"50","# of people receiving information messaging on housing, land, and property laws","# of people receiving information messaging on housing, land, and property laws"
"51","# of planned beneficiaries receiving assistance and household food consumption improved","# of planned beneficiaries receiving assistance and household food consumption improved"
"52","# of polio and/or measles doses provided","# of polio and/or measles doses provided"
"53","# of refugees participating in the design development","# of refugees participating in the design development"
"54","# of SC provided with multi-sectoral services","# of SC provided with multi-sectoral services"
"55","# of sessions  of rehabilitation provided","# of sessions  of rehabilitation provided"
"56","# of SGBV survivors who access medical care","# of SGBV survivors who access medical care"
"57","# of Syrian refugees receiving food vouchers or other forms of food assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance"
"58","# of trainings provided to CHVs","# of trainings provided to CHVs"
"59","# of UAC provided with multi-sectoral services","# of UAC provided with multi-sectoral services"
"60","# of youth engaged in volunteering within the community","# of youth engaged in volunteering within the community"
"61","# out-of-school children and youth who (re)enrol in official education","# out-of-school children and youth who (re)enrol in official education"
"62","# participating in information sessions or receiving information about services","# participating in information sessions or receiving information about services"
"63","# participating in Youth Committees","# participating in Youth Committees"
"64","# provided with at least one set of uniform or basic students' clothing","# provided with at least one set of uniform or basic students' clothing"
"65","# provided with individual education kits (school bags and stationery)","# provided with individual education kits (school bags and stationery)"
"66","# provided with transportation from the border","# provided with transportation from the border"
"67","# reached through hygiene messages and demonstrate knowledge of key hygiene practices","# reached through hygiene messages and demonstrate knowledge of key hygiene practices"
"68","# reached through targeted distribution of WASH NFIs as per agreed minimum standards","# reached through targeted distribution of WASH NFIs as per agreed minimum standards"
"69","# receiving assistive tools","# receiving assistive tools"
"70","# receiving birth certificates","# receiving birth certificates"
"71","# receiving legal information, counselling and/or representation","# receiving legal information, counselling and/or representation"
"72","# receiving rehabilitation sessions and counselling","# receiving rehabilitation sessions and counselling"
"73","# referred for secondary and tertiary care","# referred for secondary and tertiary care"
"74","# sensitized on CP issues, services available and referral pathways  (includes inter-agency information campaigns)","# sensitized on CP issues, services available and referral pathways  (includes inter-agency information campaigns)"
"75","# sensitized on SGBV issues, services available and referral pathways","# sensitized on SGBV issues, services available and referral pathways"
"76","# SGBV Survivors benefiting from timely safe, confidential and survivor centered case management and multisectoral services","# SGBV Survivors benefiting from timely safe, confidential and survivor centered case management and multisectoral services"
"77","# submitted for third country resettlement","# submitted for third country resettlement"
"78","# targeted with access to a safe and equitable water for drinking and domestic use.","# targeted with access to a safe and equitable water for drinking and domestic use."
"79","# trained on nutritional practices","# trained on nutritional practices"
"80","# who benefit from activities that promote social cohesion","# who benefit from activities that promote social cohesion"
"81","# who benefit from remedial classes","# who benefit from remedial classes"
"82","# with access to improved and appropriate sanitation.","# with access to improved and appropriate sanitation."
"83","# with access to potable water  as per the agreed minimum standards.","# with access to potable water  as per the agreed minimum standards."
"84","# with access to potable water as per the agreed minimum standards.","# with access to potable water as per the agreed minimum standards."
"85","# with access to secure, clean and culturally appropriate sanitation facilities","# with access to secure, clean and culturally appropriate sanitation facilities"
"86","# with specific needs provided with inclusive education and psychosocial services","# with specific needs provided with inclusive education and psychosocial services"
"87","bove) # benefiting from basic learning (literacy and numeracy)","bove) # benefiting from basic learning (literacy and numeracy)"
"88","bove) # benefiting from life skills activities","bove) # benefiting from life skills activities"
"89","d above) # benefiting from basic learning (literacy and numeracy)","d above) # benefiting from basic learning (literacy and numeracy)"
"90","d above) # benefiting from life skills activities","d above) # benefiting from life skills activities"
=======
"43","# of other child protection cases provided with multi-sectoral services","# of other child protection cases provided with multi-sectoral services"
"44","# of people benefitting from existing shelters and associated facilities upgraded","# of people benefitting from existing shelters and associated facilities upgraded"
"45","# of people benefitting from sealing off kits","# of people benefitting from sealing off kits"
"46","# of people provided with emergency shelters","# of people provided with emergency shelters"
"47","# of people provided with semi-permanent shelters","# of people provided with semi-permanent shelters"
"48","# of people receiving conditional cash for rent assistance","# of people receiving conditional cash for rent assistance"
"49","# of people receiving information messaging on housing, land, and property laws","# of people receiving information messaging on housing, land, and property laws"
"50","# of planned beneficiaries receiving assistance and household food consumption improved","# of planned beneficiaries receiving assistance and household food consumption improved"
"51","# of polio and/or measles doses provided","# of polio and/or measles doses provided"
"52","# of SC provided with multi-sectoral services","# of SC provided with multi-sectoral services"
"53","# of sessions  of rehabilitation provided","# of sessions  of rehabilitation provided"
"54","# of SGBV survivors who access medical care","# of SGBV survivors who access medical care"
"55","# of Syrian refugees receiving food vouchers or other forms of food assistance","# of Syrian refugees receiving food vouchers or other forms of food assistance"
"56","# of trainings provided to CHVs","# of trainings provided to CHVs"
"57","# of UAC provided with multi-sectoral services","# of UAC provided with multi-sectoral services"
"58","# of youth engaged in volunteering within the community","# of youth engaged in volunteering within the community"
"59","# out-of-school children and youth who (re)enrol in official education","# out-of-school children and youth who (re)enrol in official education"
"60","# participating in information sessions or receiving information about services","# participating in information sessions or receiving information about services"
"61","# participating in Youth Committees","# participating in Youth Committees"
"62","# provided with at least one set of uniform or basic students' clothing","# provided with at least one set of uniform or basic students' clothing"
"63","# provided with individual education kits (school bags and stationery)","# provided with individual education kits (school bags and stationery)"
"64","# provided with transportation from the border","# provided with transportation from the border"
"65","# reached through hygiene messages and demonstrate knowledge of key hygiene practices","# reached through hygiene messages and demonstrate knowledge of key hygiene practices"
"66","# reached through targeted distribution of WASH NFI’s as per agreed minimum standards","# reached through targeted distribution of WASH NFI’s as per agreed minimum standards"
"67","# receiving assistive tools","# receiving assistive tools"
"68","# receiving birth certificates","# receiving birth certificates"
"69","# receiving legal information, counselling and/or representation","# receiving legal information, counselling and/or representation"
"70","# receiving rehabilitation sessions and counselling","# receiving rehabilitation sessions and counselling"
"71","# referred for secondary and tertiary care","# referred for secondary and tertiary care"
"72","# registered in Jordanian public schools (primary and secondary)","# registered in Jordanian public schools (primary and secondary)"
"73","# sensitized on CP issues, services available and referral pathways  (includes inter-agency information campaigns)","# sensitized on CP issues, services available and referral pathways  (includes inter-agency information campaigns)"
"74","# sensitized on SGBV issues, services available and referral pathways","# sensitized on SGBV issues, services available and referral pathways"
"75","# SGBV Survivors benefiting from timely safe, confidential and survivor centered case management and multisectoral services","# SGBV Survivors benefiting from timely safe, confidential and survivor centered case management and multisectoral services"
"76","# submitted for third country resettlement","# submitted for third country resettlement"
"77","# targeted with access to a safe and equitable water for drinking and domestic use.","# targeted with access to a safe and equitable water for drinking and domestic use."
"78","# who are newly certified from non-formal education","# who are newly certified from non-formal education"
"79","# who benefit from activities that promote social cohesion","# who benefit from activities that promote social cohesion"
"80","# who benefit from remedial classes","# who benefit from remedial classes"
"81","# with access to improved and appropriate sanitation.","# with access to improved and appropriate sanitation."
"82","# with access to potable water  as per the agreed minimum standards.","# with access to potable water  as per the agreed minimum standards."
"83","# with access to potable water as per the agreed minimum standards.","# with access to potable water as per the agreed minimum standards."
"84","# with access to secure, clean and culturally appropriate sanitation facilities","# with access to secure, clean and culturally appropriate sanitation facilities"
"85","# with specific needs provided with inclusive education and psychosocial services","# with specific needs provided with inclusive education and psychosocial services"
"86","bove) # benefiting from life skills activities","bove) # benefiting from life skills activities"
"87","F/M accessing services targeting youth","F/M accessing services targeting youth"
"88","of youth engaged in volunteering within the community","of youth engaged in volunteering within the community"
"89","participating in Youth Committees","participating in Youth Committees"
>>>>>>> origin/master
