"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"51","SHELTER","01/07/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"IRBID","Boys","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1707",52,"Individual","Irbid Governorate","North","Camp"
"52","SHELTER","01/09/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Girls","MC","   Urban areas - ","Direct appeal","None","Yes","1","1707",78,"Individual","Liwa Bani Ubayid","North","Urban"
"53","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",10,"Individual","Liwa al Mazar ash Shamali","North","Urban"
"55","SHELTER","01/06/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"IRBID","Girls","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1707",41,"Individual","Irbid Governorate","North","Urban"
"56","SHELTER","01/09/2014","1. Host Communities","2. Increased housing units available",,"JARASH","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1708",13,"Individual","Jarash City","North","Urban"
"77","SHELTER","01/04/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Men","Intersos","   Urban areas - ","Direct appeal","None","Yes","1","1707",83,"Individual","Irbid Governorate","North","Urban"
"110","SHELTER","01/07/2014","1. Host Communities","3. Refugees enabled to pay rent on time","NA","IRBID","","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",62,"Individual","Irbid Governorate","North",""
"111","SHELTER","01/03/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",73,"Individual","Liwa Bani Ubayid","North","Camp"
"113","SHELTER","01/09/2014","1. Host Communities","1. Housing units upgraded to minimum standard","NA","IRBID","","JHAS","   Urban areas - ","Appeal outside of RRP6","None","No","1","1707",23,"#","Liwa ar Ramtha","North",""
"114","SHELTER","01/10/2014","1. Host Communities","1. Housing units upgraded to minimum standard","NA","IRBID","","JHAS","   Urban areas - ","Appeal outside of RRP6","None","No","1","1707",24,"#","Liwa ar Ramtha","North",""
"118","SHELTER","01/01/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Girls","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",164,"Individual","Liwa Marka","Center","other Affected"
"119","SHELTER","01/04/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather","NA","AMMAN","","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",30,"Individual","Liwa Marka","Center",""
"120","SHELTER","01/03/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Boys","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",94,"Individual","Liwa Marka","Center","Camp"
"138","SHELTER","01/08/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",32,"Individual","Liwa al Wasatiyah","North",""
"141","SHELTER","01/07/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",26,"Individual","Liwa Bani Ubayid","North","Urban"
"142","SHELTER","01/10/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",123,"Individual","Liwa Bani Ubayid","North",""
"148","SHELTER","01/12/2013","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",71,"#","Liwa al Mazar ash Shamali","North",""
"149","SHELTER","01/12/2014","1. Host Communities","3. Refugees enabled to pay rent on time","NA","JARASH","","ICMC","   Urban areas - ","Direct appeal","None","Yes","1","1708",11,"Individual","Liwa Qasabat Jarash","North",""
"151","SHELTER","01/09/2013","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",21,"Individual","Liwa al Mazar ash Shamali","North","Urban"
"154","SHELTER","01/05/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",107,"Individual","Liwa al Kurah","North","Urban"
"155","SHELTER","01/10/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",22,"#","Liwa al Kurah","North",""
"159","SHELTER","01/05/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Women","Intersos","   Urban areas - ","Direct appeal","None","Yes","1","1707",93,"Individual","Irbid Governorate","North","Urban"
"161","SHELTER","01/02/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1707",20,"Individual","Liwa Bani Ubayid","North","Urban"
"164","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",61,"Individual","Liwa Bani Ubayid","North","Urban"
"167","SHELTER","01/12/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",265,"Individual","Liwa Bani Ubayid","North",""
"173","SHELTER","01/10/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",36,"Individual","Liwa Bani Ubayid","North","Urban"
"177","SHELTER","01/03/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"IRBID","Girls","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1707",71,"Individual","Irbid Governorate","North","Urban"
"186","SHELTER","01/07/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",35,"Individual","Liwa Qasabat Irbid","North","Urban"
"187","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",20,"Individual","Liwa Qasabat Irbid","North","Urban"
"197","SHELTER","31/01/2015","2. Planned Site","3. Emergency shelter provided","NA","ZaatariCamp","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",855,"Individual","Zaatari Camp (all district)","2",""
"200","SHELTER","01/03/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Men","MC","   Urban areas - ","Direct appeal","None","Yes","1","1707",38,"Individual","Liwa Bani Ubayid","North","Urban"
"208","SHELTER","01/04/2014","2. Planned Site","2. Infrastructure development & maintenance","NA","ZaatariCamp","","UNHCR","Camp    - ","Direct appeal","UNHCR","Yes","5","2",34870,"m2","Zaatari Camp (all district)","2",""
"223","SHELTER","01/10/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",45,"Individual","Liwa al Wasatiyah","North","Urban"
"230","SHELTER","01/06/2014","1. Host Communities","1. Housing units upgraded to minimum standard","NA","AJLOUN","","JHAS","   Urban areas - ","Appeal outside of RRP6","None","No","1","1701",43,"#","Ajlun Governorate","North",""
"237","SHELTER","01/03/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Girls","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",67,"Individual","Liwa Marka","Center","Urban"
"239","SHELTER","01/05/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Girls","Intersos","   Urban areas - ","Direct appeal","None","Yes","1","1707",60,"Individual","Irbid Governorate","North","other Affected"
"244","SHELTER","01/07/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",90,"Individual","Liwa Qasabat Irbid","North","other Affected"
"245","SHELTER","01/05/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",51,"Individual","Liwa Qasabat Irbid","North","Urban"
"247","SHELTER","01/03/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",80,"Individual","Liwa Qasabat Irbid","North","Urban"
"256","SHELTER","01/04/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather","NA","JARASH","","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","1","1708",135,"#","Liwa Qasabat Jarash","North",""
"257","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",42,"Individual","Liwa Bani Ubayid","North","Urban"
"274","SHELTER","01/05/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",103,"Individual","Liwa al Kurah","North","Urban"
"275","SHELTER","01/09/2014","1. Host Communities","2. Increased housing units available",,"JARASH","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1708",57,"Individual","Jarash City","North","other Affected"
"276","SHELTER","01/08/2014","1. Host Communities","2. Increased housing units available",,"JARASH","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1708",30,"Individual","Jarash City","North","other Affected"
"277","SHELTER","01/12/2014","1. Host Communities","2. Increased housing units available",,"JARASH","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1708",135,"Individual","Jarash City","North","Urban"
"311","SHELTER","01/05/2014","1. Host Communities","5. Increased awareness about tenure",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",140,"Individual","Irbid Governorate","North","Urban"
"312","SHELTER","01/06/2014","1. Host Communities","5. Increased awareness about tenure",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",227,"Individual","Irbid Governorate","North","Urban"
"321","SHELTER","01/07/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",18,"Individual","Liwa at Tayyibah","North","Camp"
"330","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",15,"Individual","Liwa Qasabat Irbid","North","Urban"
"335","SHELTER","01/03/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",53,"Individual","Liwa al Kurah","North",""
"343","SHELTER","01/11/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",202,"Individual","Liwa al Kurah","North",""
"349","SHELTER","01/04/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Boys","Intersos","   Urban areas - ","Direct appeal","None","Yes","1","1707",144,"Individual","Irbid Governorate","North","Camp"
"353","SHELTER","01/04/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Girls","Intersos","   Urban areas - ","Direct appeal","None","Yes","1","1707",49,"Individual","Irbid Governorate","North","other Affected"
"369","SHELTER","01/02/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Men","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",89,"Individual","Liwa Marka","Center","other Affected"
"388","SHELTER","01/01/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather","NA","AMMAN","","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",325,"#","Liwa Marka","Center",""
"398","SHELTER","01/05/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",285,"Individual","Liwa al Kurah","North","other Affected"
"424","SHELTER","01/08/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",180,"Individual","Liwa Qasabat Irbid","North",""
"469","SHELTER","01/12/2014","2. Planned Site","5. T-shelter units provided and maintained","NA","AzraqCamp","","NRC","Camp    - ","Indirect appeal","UNHCR","Yes","5","2",571,"Individual","Azraq Camp","2",""
"471","SHELTER","01/05/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Girls","Intersos","   Urban areas - ","Direct appeal","None","Yes","1","1707",113,"Individual","Irbid Governorate","North","Urban"
"485","SHELTER","01/01/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Men","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",130,"Individual","Liwa Marka","Center","other Affected"
"486","SHELTER","01/04/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Boys","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",78,"Individual","Liwa Marka","Center","Camp"
"491","SHELTER","01/12/2013","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Girls","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",14,"Individual","Liwa Marka","Center","other Affected"
"493","SHELTER","01/12/2013","1. Host Communities","4. HH adapt housing to overcome harsh weather","NA","AMMAN","","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",13,"Individual","Liwa Marka","Center",""
"495","SHELTER","01/07/2014","1. Host Communities","5. Increased awareness about tenure","NA","AMMAN","","Caritas","   Urban areas - ","Direct appeal","None","Yes","2","1705",62,"#","Amman Governorate","Center",""
"518","SHELTER","01/12/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",67,"#","Liwa al Kurah","North",""
"520","SHELTER","01/08/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",9,"Individual","Liwa al Mazar ash Shamali","North","Urban"
"522","SHELTER","01/03/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",51,"Individual","Liwa at Tayyibah","North","Urban"
"528","SHELTER","01/08/2014","1. Host Communities","1. Housing units upgraded to minimum standard","NA","MAFRAQ","","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1711",20,"#","Mafraq Governorate","North",""
"529","SHELTER","01/05/2014","1. Host Communities","5. Increased awareness about tenure",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",1,"Individual","Irbid Governorate","North","Camp"
"543","SHELTER","01/10/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",247,"Individual","Liwa Qasabat Irbid","North","other Affected"
"544","SHELTER","01/04/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",200,"Individual","Liwa Qasabat Irbid","North","other Affected"
"570","SHELTER","01/12/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",122,"Individual","Liwa al Wasatiyah","North","other Affected"
"575","SHELTER","01/12/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",687,"Individual","Liwa Qasabat Irbid","North","other Affected"
"576","SHELTER","01/10/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",247,"Individual","Liwa Qasabat Irbid","North","other Affected"
"617","SHELTER","01/12/2014","1. Host Communities","3. Refugees enabled to pay rent on time","NA","AJLOUN","","ICMC","   Urban areas - ","Direct appeal","None","Yes","1","1701",2,"Individual","Liwa Qasabat Ajlun","North",""
"642","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",9,"Individual","Liwa at Tayyibah","North","Camp"
"644","SHELTER","01/11/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",66,"Individual","Liwa al Kurah","North","Urban"
"657","SHELTER","01/11/2014","1. Host Communities","5. Increased awareness about tenure",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",418,"Individual","Irbid Governorate","North","Urban"
"685","SHELTER","01/07/2014","1. Host Communities","3. Refugees enabled to pay rent on time","NA","IRBID","","Caritas","   Urban areas - ","Indirect appeal","None","Yes","1","1707",63,"Individual","Irbid Governorate","North",""
"690","SHELTER","01/04/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",29,"Individual","Liwa al Mazar ash Shamali","North","Urban"
"691","SHELTER","01/11/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",52,"Individual","Liwa al Mazar ash Shamali","North",""
"692","SHELTER","01/08/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",47,"Individual","Liwa al Mazar ash Shamali","North","other Affected"
"699","SHELTER","01/04/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",78,"Individual","Liwa al Mazar ash Shamali","North","other Affected"
"712","SHELTER","01/09/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",14,"Individual","Liwa al Wasatiyah","North","Urban"
"720","SHELTER","01/05/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",17,"#","Liwa al Wasatiyah","North",""
"721","SHELTER","01/04/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",18,"Individual","Liwa al Wasatiyah","North","other Affected"
"723","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",25,"Individual","Liwa al Wasatiyah","North","Urban"
"725","SHELTER","01/10/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",10,"Individual","Liwa al Wasatiyah","North","Urban"
"729","SHELTER","01/06/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"MAFRAQ","Boys","LWF","   Urban areas - ","Appeal outside of RRP6","None","Yes","1","1711",41,"Individual","Mafraq Governorate","North","Camp"
"731","SHELTER","01/12/2013","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Women","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",10,"Individual","Liwa Marka","Center","Urban"
"741","SHELTER","01/11/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",10,"Individual","Liwa al Wasatiyah","North","other Affected"
"742","SHELTER","01/05/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",16,"Individual","Liwa al Wasatiyah","North","Urban"
"743","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",32,"Individual","Liwa al Wasatiyah","North","Camp"
"744","SHELTER","01/12/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",41,"Individual","Liwa al Wasatiyah","North","Urban"
"746","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",75,"Individual","Liwa al Wasatiyah","North","Urban"
"748","SHELTER","01/01/2014","1. Host Communities","3. Refugees enabled to pay rent on time","NA","AMMAN","","Caritas","   Urban areas - ","Direct appeal","None","Yes","2","1705",65,"Individual","Amman Governorate","Center",""
"758","SHELTER","01/01/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",85,"#","Liwa at Tayyibah","North",""
"791","SHELTER","01/08/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",18,"Individual","Liwa al Mazar ash Shamali","North","Urban"
"811","SHELTER","01/01/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",7,"Individual","Liwa Qasabat Irbid","North","Camp"
"812","SHELTER","01/04/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",80,"#","Liwa Qasabat Irbid","North",""
"823","SHELTER","01/01/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",57,"Individual","Liwa al Mazar ash Shamali","North","Urban"
"835","SHELTER","01/11/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",10,"Individual","Liwa al Wasatiyah","North","Urban"
"855","SHELTER","01/01/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Girls","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",324,"Individual","Liwa Marka","Center","Urban"
"860","SHELTER","01/08/2014","1. Host Communities","5. Increased awareness about tenure",,"AMMAN","Men","Caritas","   Urban areas - ","Direct appeal","None","Yes","2","1705",98,"Individual","Amman Governorate","Center","Urban"
"861","SHELTER","01/03/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather","NA","KARAK","","DRC","   Urban areas - ","Direct appeal","None","Yes","3","1704",28,"Individual","Karak City","South",""
"863","SHELTER","01/03/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather","NA","AMMAN","","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",37,"#","Liwa Marka","Center",""
"865","SHELTER","01/02/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Men","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",248,"Individual","Liwa Marka","Center","Urban"
"873","SHELTER","01/02/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"AMMAN","Women","PU-AMI","   Urban areas - ","Direct appeal","None","Yes","2","1705",94,"Individual","Liwa Marka","Center","Urban"
"877","SHELTER","01/07/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",57,"Individual","Liwa al Wasatiyah","North","other Affected"
"879","SHELTER","01/09/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",15,"#","Liwa Bani Ubayid","North",""
"880","SHELTER","01/11/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",52,"Individual","Liwa at Tayyibah","North","other Affected"
"883","SHELTER","01/01/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",213,"Individual","Liwa at Tayyibah","North","other Affected"
"895","SHELTER","01/02/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Women","MC","   Urban areas - ","Direct appeal","None","Yes","1","1707",20,"Individual","Liwa Bani Ubayid","North","Urban"
"911","SHELTER","01/08/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Girls","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",64,"Individual","Liwa Bani Ubayid","North","Urban"
"912","SHELTER","01/11/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",77,"#","Liwa Bani Ubayid","North",""
"913","SHELTER","01/09/2013","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",11,"Individual","Liwa al Mazar ash Shamali","North","Camp"
"957","SHELTER","01/03/2014","1. Host Communities","1. Housing units upgraded to minimum standard",,"IRBID","Boys","MEDAIR","   Urban areas - ","Direct appeal","None","Yes","1","1707",19,"Individual","Liwa ar Ramtha","North","Camp"
"1001","SHELTER","01/02/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Men","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",8,"Individual","Liwa Bani Ubayid","North","other Affected"
"1018","SHELTER","01/02/2014","1. Host Communities","4. HH adapt housing to overcome harsh weather",,"KARAK","Women","DRC","   Urban areas - ","Direct appeal","None","Yes","3","1704",12,"Individual","Karak City","South","Urban"
"1055","SHELTER","01/05/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",114,"#","Liwa al Kurah","North",""
"1062","SHELTER","01/03/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Boys","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",18,"Individual","Liwa al Kurah","North","Camp"
"1077","SHELTER","01/07/2014","1. Host Communities","2. Increased housing units available","NA","IRBID","","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",45,"#","Liwa al Kurah","North",""
"1090","SHELTER","01/06/2014","1. Host Communities","2. Increased housing units available",,"IRBID","Women","NRC","   Urban areas - ","Direct appeal","None","Yes","1","1707",124,"Individual","Liwa al Kurah","North","Urban"
