"","Category","Partner","Area","Objective","Output","Sector","Implementation","Total","RegionCODE","Area2"
"160","Refugee","ACF","Ajlun Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.5]IYCF practices promoted","HEALTH","direct",15000,1701,"AJLOUN"
"164","Refugee","NRC","Ajlun Governorate","SHLT[REF2.2]Complete Housing Units","[REF2.2.2]Increase no. of shelters in urban/r","SHELTER","direct",1050000,1701,"AJLOUN"
"169","Refugee","UNICEF","Ajlun Governorate","WASH [REF2.4]Services in Urban Sanitation","[REF2.4.1]Schools etc access sanitation","WASH ","indirect",138181.8,1701,"AJLOUN"
"180","Refugee","APS","Ajlun Governorate","PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","PROTECTION","direct",25557,1701,"AJLOUN"
"182","Refugee","ICMC","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",25000,1701,"AJLOUN"
"184","Refugee","APS","Ajlun Governorate","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","direct",95353,1701,"AJLOUN"
"190","Refugee","UNICEF","Ajlun Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.1]Sanitation improv. In urban","WASH ","indirect",112222,1701,"AJLOUN"
"191","Refugee","NRC","Ajlun Governorate","SHLT[REF2.3]Upgrade Housing Units","[REF2.3.1]Upgrade Housing urban/rural","SHELTER","direct",3e+05,1701,"AJLOUN"
"194","Refugee","WVI","Ajlun Governorate","PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","PROTECTION","direct",390000,1701,"AJLOUN"
"207","Refugee","UNICEF","Ajlun Governorate","WASH [REF1.3]Water Repair/Ext","[REF1.3.1]Repair/Ext Urban","WASH ","indirect",111111.1,1701,"AJLOUN"
"213","Refugee","NRC","Ajlun Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",50000,1701,"AJLOUN"
"222","Refugee","WVI","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",163333.33,1701,"AJLOUN"
"225","Refugee","ACF","Ajlun Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.5]Community Mental Hlth services","HEALTH","",4500,1701,"AJLOUN"
"228","Refugee","ACF","Ajlun Governorate","WASH [REF1.5]Water Conservation","[REF1.5.1]Conserv. In camps/urban","WASH ","direct",5600,1701,"AJLOUN"
"229","Refugee","UNHCR","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",351027,1701,"AJLOUN"
"233","Refugee","UNICEF","Ajlun Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.2]Household wastewater mngt","WASH ","indirect",11111.1,1701,"AJLOUN"
"271","Refugee","UNICEF","Ajlun Governorate","WASH [REF1.5]Water Conservation","[REF1.5.2]Reuse of wastewater ","WASH ","",66666.7,1701,"AJLOUN"
"274","Refugee","ICMC","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",114325,1701,"AJLOUN"
"280","Refugee","NRC","Ajlun Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",150000,1701,"AJLOUN"
"293","Refugee","OXFAM","Ajlun Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","PROTECTION","direct",1e+05,1701,"AJLOUN"
"300","Refugee","Mercy Corps","Ajlun Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","direct",16666,1701,"AJLOUN"
"323","Refugee","Mercy Corps","Ajlun Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",67500,1701,"AJLOUN"
"327","Refugee","Mercy Corps","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",616666,1701,"AJLOUN"
"335","Refugee","UNICEF","Ajlun Governorate","WASH [REF1.4]Services in urban access to water","[REF1.4.1]Schools etc access Water","WASH ","indirect",113333,1701,"AJLOUN"
"338","Refugee","IMC","Ajlun Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.5]Community Mental Hlth services","HEALTH","direct",937,1701,"AJLOUN"
"358","Refugee","UNICEF","Ajlun Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","WASH ","indirect",83333,1701,"AJLOUN"
"361","Refugee","UNICEF","Ajlun Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.2]Household Water Improv.","WASH ","indirect",66666.7,1701,"AJLOUN"
"367","Refugee","NRC","Ajlun Governorate","WASH [REF1.5]Water Conservation","[REF1.5.1]Conserv. In camps/urban","WASH ","direct",45630,1701,"AJLOUN"
"371","Refugee","APS","Ajlun Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","HEALTH","direct",73584,1701,"AJLOUN"
"375","Refugee","NRC","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",1e+05,1701,"AJLOUN"
"383","Refugee","NRC","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",50000,1701,"AJLOUN"
"394","Refugee","UNHCR","Ajlun Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",1479989,1701,"AJLOUN"
"401","Refugee","Caritas","Al Balqa Governorate","PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","PROTECTION","direct",2542,1702,"Balqa"
"404","Refugee","Caritas","Al Balqa Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.1]Strategy to reduce violence","EDUCATION","direct",2000,1702,"Balqa"
"407","Refugee","PU-AMI","Al Balqa Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.5]Community Mental Hlth services","HEALTH","indirect",1500,1702,"Balqa"
"409","Refugee","PU-AMI","Al Balqa Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.4]Mat/Child Health mngt","HEALTH","indirect",75000,1702,"Balqa"
"412","Refugee","UNICEF","Al Balqa Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.1]Sanitation improv. In urban","WASH ","indirect",112222,1702,"Balqa"
"420","Refugee","Caritas","Al Balqa Governorate","EDU[REF3.1]EarlyChildhood","[REF3.1.4]Parent outreach","EDUCATION","direct",439,1702,"Balqa"
"423","Refugee","PU-AMI","Al Balqa Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","indirect",95812,1702,"Balqa"
"429","Refugee","UNICEF","Al Balqa Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.2]Household Water Improv.","WASH ","indirect",66666.7,1702,"Balqa"
"431","Refugee","PU-AMI","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","indirect",69375,1702,"Balqa"
"438","Refugee","ICMC","Al Balqa Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","WASH ","direct",16072,1702,"Balqa"
"444","Refugee","Caritas","Al Balqa Governorate","FOOD/LIV[1.2]Promote Safe/Nutr/Diverse Food","[REF1.2.2]Awareness Nutr. Practices","FOOD/LIVELIHOOD","direct",8125,1702,"Balqa"
"446","Refugee","PU-AMI","Al Balqa Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","HEALTH","indirect",8750,1702,"Balqa"
"448","Refugee","Caritas","Al Balqa Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.1]Water Trucking Urban","WASH ","direct",2119,1702,"Balqa"
"452","Refugee","Caritas","Al Balqa Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",219689.1,1702,"Balqa"
"466","Refugee","Caritas","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",8474,1702,"Balqa"
"469","Refugee","Caritas","Al Balqa Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.1]Sanitation improv. In urban","WASH ","direct",3531,1702,"Balqa"
"473","Refugee","PU-AMI","Al Balqa Governorate","PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","PROTECTION","indirect",6750,1702,"Balqa"
"481","Refugee","JHAS","Al Balqa Governorate","SHLT[REF2.3]Upgrade Housing Units","[REF2.3.1]Upgrade Housing urban/rural","SHELTER","direct",83410.68,1702,"Balqa"
"486","Refugee","UNICEF","Al Balqa Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","WASH ","indirect",83333,1702,"Balqa"
"491","Refugee","UNFPA","Al Balqa Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","HEALTH","indirect",6e+05,1702,"Balqa"
"506","Refugee","PU-AMI","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","PROTECTION","indirect",111437.5,1702,"Balqa"
"515","Refugee","Caritas","Al Balqa Governorate","EDU[REF3.3]Alternative Education","[REF3.3.2]Life Skills","EDUCATION","direct",27717.6,1702,"Balqa"
"519","Refugee","PU-AMI","Al Balqa Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","HEALTH","indirect",75000,1702,"Balqa"
"521","Refugee","Caritas","Al Balqa Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.2]Engage Parents & Communities","EDUCATION","direct",4937.35,1702,"Balqa"
"525","Refugee","Caritas","Al Balqa Governorate","FOOD/LIV[1.1]Improve Food Access","[REF 1.1.1]Food Assistance","FOOD/LIVELIHOOD","direct",62394.05,1702,"Balqa"
"529","Refugee","UNICEF","Al Balqa Governorate","WASH [REF2.4]Services in Urban Sanitation","[REF2.4.1]Schools etc access sanitation","WASH ","indirect",138181.8,1702,"Balqa"
"536","Refugee","PU-AMI","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","indirect",90600,1702,"Balqa"
"537","Refugee","UNICEF","Al Balqa Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.2]Household wastewater mngt","WASH ","indirect",11111.1,1702,"Balqa"
"541","Refugee","Caritas","Al Balqa Governorate","EDU[REF3.4]Teritiary Education","[REF3.4.4]Vocational/Skills Training","EDUCATION","direct",25221.88857,1702,"Balqa"
"545","Refugee","ICMC","Al Balqa Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",25000,1702,"Balqa"
"552","Refugee","Caritas","Al Balqa Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","WASH ","direct",8475,1702,"Balqa"
"553","Refugee","Caritas","Al Balqa Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","HEALTH","direct",180084.75,1702,"Balqa"
"560","Refugee","IMC","Al Balqa Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.6]Mental Health Services (primary)","HEALTH","direct",15530,1702,"Balqa"
"575","Refugee","PU-AMI","Al Balqa Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.2]Community Hlth Network","HEALTH","indirect",12000,1702,"Balqa"
"581","Refugee","Caritas","Al Balqa Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.4]Social Cohesion","EDUCATION","direct",6356,1702,"Balqa"
"605","Refugee","Caritas","Al Balqa Governorate","EDU[REF2.1]Train Education Providers","[REF2.1.1]Train Service Providers","EDUCATION","direct",2893,1702,"Balqa"
"610","Refugee","UNICEF","Al Balqa Governorate","WASH [REF1.4]Services in urban access to water","[REF1.4.1]Schools etc access Water","WASH ","indirect",113333,1702,"Balqa"
"626","Refugee","PU-AMI","Al Balqa Governorate","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","indirect",6750,1702,"Balqa"
"629","Refugee","OXFAM","Al Balqa Governorate","WASH [REF2.4]Services in Urban Sanitation","[REF2.4.1]Schools etc access sanitation","WASH ","direct",1e+05,1702,"Balqa"
"640","Refugee","PU-AMI","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","indirect",67862.5,1702,"Balqa"
"649","Refugee","Caritas","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",12711,1702,"Balqa"
"654","Refugee","Caritas","Al Balqa Governorate","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","direct",1271,1702,"Balqa"
"691","Refugee","Caritas","Al Balqa Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","WASH ","direct",5650,1702,"Balqa"
"693","Refugee","OXFAM","Al Balqa Governorate","WASH [REF1.4]Services in urban access to water","[REF1.4.1]Schools etc access Water","WASH ","direct",1e+05,1702,"Balqa"
"698","Refugee","PU-AMI","Al Balqa Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.1]Community Health Teams","HEALTH","indirect",75000,1702,"Balqa"
"709","Refugee","UNICEF","Al Balqa Governorate","WASH [REF2.3]Sanit.Repair/Ext","[REF2.3.1]Sewage Treatment in urban","WASH ","indirect",1666666.7,1702,"Balqa"
"712","Refugee","SC Jordan","Al Balqa Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",51940,1702,"Balqa"
"716","Refugee","ICMC","Al Balqa Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",54817,1702,"Balqa"
"725","Refugee","Caritas","Al Balqa Governorate","SHLT[REF2.3]Upgrade Housing Units","[REF2.3.1]Upgrade Housing urban/rural","SHELTER","direct",8250,1702,"Balqa"
"727","Refugee","UNICEF","Al Balqa Governorate","WASH [REF1.5]Water Conservation","[REF1.5.1]Conserv. In camps/urban","WASH ","indirect",55555.5,1702,"Balqa"
"733","Refugee","PU-AMI","Al Balqa Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","indirect",160000,1702,"Balqa"
"735","Refugee","OXFAM","Al Balqa Governorate","WASH [REF1.3]Water Repair/Ext","[REF1.3.1]Repair/Ext Urban","WASH ","",2e+06,1702,"Balqa"
"737","Refugee","Caritas","Al Balqa Governorate","PROT[REF1.1]Refugee Rights Respected","[REF1.1.5]Access to Legal Assistance","PROTECTION","direct",423,1702,"Balqa"
"740","Refugee","OXFAM","Al Balqa Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.2]Household Water Improv.","WASH ","direct",80000,1702,"Balqa"
"750","Refugee","Caritas","Al Balqa Governorate","EDU[REF3.2]Acces to Formal Education","[REF3.2.3]School Supplies","EDUCATION","direct",18209.4,1702,"Balqa"
"751","Refugee","UNFPA","Al Balqa Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.4]Emergency Obstetric Care","HEALTH","indirect",1e+05,1702,"Balqa"
"756","Refugee","PU-AMI","Al Balqa Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.4]Emergency Obstetric Care","HEALTH","indirect",50000,1702,"Balqa"
"760","Refugee","UNICEF","Al Balqa Governorate","WASH [REF1.5]Water Conservation","[REF1.5.2]Reuse of wastewater ","WASH ","",66666.7,1702,"Balqa"
"780","Refugee","Caritas","Al Balqa Governorate","WASH [REF2.3]Sanit.Repair/Ext","[REF2.3.1]Sewage Treatment in urban","WASH ","direct",5297,1702,"Balqa"
"784","Refugee","Caritas","Al Balqa Governorate","EDU[REF3.1]EarlyChildhood","[REF3.1.2]KG facilitators recruited","EDUCATION","direct",24237.22,1702,"Balqa"
"793","Refugee","Caritas","Al Balqa Governorate","SHLT[REF2.2]Complete Housing Units","[REF2.2.1]Awareness on Housing Rights","SHELTER","direct",4400,1702,"Balqa"
"795","Refugee","UNICEF","Al Balqa Governorate","WASH [REF1.3]Water Repair/Ext","[REF1.3.1]Repair/Ext Urban","WASH ","indirect",11111.1,1702,"Balqa"
"800","Refugee","IMC","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",26250,1702,"Balqa"
"816","Refugee","IMC","Al Balqa Governorate","PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","PROTECTION","direct",50000,1702,"Balqa"
"817","Refugee","Caritas","Al Balqa Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",8750,1702,"Balqa"
"820","Refugee","Caritas","Al Balqa Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",30064,1702,"Balqa"
"832","Refugee","ICMC","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",12547,1702,"Balqa"
"833","Refugee","IMC","Al Balqa Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.5]Community Mental Hlth services","HEALTH","direct",937,1702,"Balqa"
"836","Refugee","Caritas","Al Balqa Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","direct",33898,1702,"Balqa"
"837","Refugee","PU-AMI","Al Balqa Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","indirect",40000,1702,"Balqa"
"849","Refugee","UNHCR","Al Balqa Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",3096847,1702,"Balqa"
"852","Refugee","Caritas","Al Balqa Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","HEALTH","direct",25919.15,1702,"Balqa"
"861","Refugee","UNHCR","Al Balqa Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",734518,1702,"Balqa"
"865","Refugee","UNICEF","Al Balqa Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.1]Water Trucking Urban","WASH ","indirect",55555.5,1702,"Balqa"
"868","Refugee","PU-AMI","Al Balqa Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","indirect",236250,1702,"Balqa"
"895","Refugee","OXFAM","Al Balqa Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","WASH ","direct",25000,1702,"Balqa"
"897","Refugee","OXFAM","Al Balqa Governorate","FOOD/LIV[1.1]Improve Food Access","[REF 1.1.1]Food Assistance","FOOD/LIVELIHOOD","direct",1e+05,1702,"Balqa"
"900","Refugee","Caritas","Al Balqa Governorate","EDU[REF3.1]EarlyChildhood","[REF3.1.1]Access to KG centres","EDUCATION","direct",76751.03,1702,"Balqa"
"904","Refugee","Caritas","Al Balqa Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.2]Household wastewater mngt","WASH ","direct",3390,1702,"Balqa"
"912","Refugee","UPP","Amman","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",97781,1705,"AMMAN"
"913","Refugee","UNHCR","Amman","PROT[REF1.1]Refugee Rights Respected","[REF1.1.1]Border Reception/Transport/Comm. Po","PROTECTION","direct",1e+06,1705,"AMMAN"
"914","Refugee","UPP","Amman","PROT[REF1.3]SGBV","[REF.1.3.3]Capacity of Service Providers","PROTECTION","direct",19557,1705,"AMMAN"
"924","Refugee","UPP","Amman","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",58668,1705,"AMMAN"
"947","Refugee","World Relief Germany","Amman","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.4]Social Cohesion","EDUCATION","direct",80000,1705,"AMMAN"
"953","Refugee","UPP","Amman","PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","PROTECTION","direct",29336,1705,"AMMAN"
"961","Refugee","UPP","Amman","PROT[REF1.1]Refugee Rights Respected","[REF1.1.5]Access to Legal Assistance","PROTECTION","direct",39112,1705,"AMMAN"
"968","Refugee","UNHCR","Amman","PROT[REF1.1]Refugee Rights Respected","[REF1.1.1]Border Reception/Transport/Comm. Po","PROTECTION","direct",1e+06,1705,"AMMAN"
"969","Refugee","UPP","Amman","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","direct",48893,1705,"AMMAN"
"988","Refugee","IMC","Amman Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.6]Mental Health Services (primary)","HEALTH","direct",13.056,1705,"AMMAN"
"989","Refugee","FPSC","Amman Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",930000,1705,"AMMAN"
"991","Refugee","UNHCR","Amman Governorate","PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","PROTECTION","indirect",226300,1705,"AMMAN"
"999","Refugee","UNICEF","Amman Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","WASH ","indirect",83333,1705,"AMMAN"
"1000","Refugee","NEF","Amman Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",171714,1705,"AMMAN"
"1002","Refugee","WVI","Amman Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.2]Engage Parents & Communities","EDUCATION","direct",3900000,1705,"AMMAN"
"1016","Refugee","Caritas","Amman Governorate","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","direct",3813,1705,"AMMAN"
"1021","Refugee","JHAS","Amman Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.4]Emergency Obstetric Care","HEALTH","direct",42000,1705,"AMMAN"
"1026","Refugee","Caritas","Amman Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.2]Engage Parents & Communities","EDUCATION","direct",12567.8,1705,"AMMAN"
"1031","Refugee","IRD","Amman Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.2]Improved NCD Mngt","HEALTH","direct",60000,1705,"AMMAN"
"1034","Refugee","Caritas","Amman Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","HEALTH","direct",1980932.25,1705,"AMMAN"
