"","Governorate","sector","activity","Partner","Area","Refugee.Camps","End","Total","Objective","Sector","Output","Implementation","RegionCODE","Area2","units"
"21","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.3]Solar Water heaters","NRC","Ajlun Governorate",,"2016-01",7,"RE&EE Solutions","ENGINEERING","Solar Water heaters","direct",1701,"AJLOUN","%"
"22","Ajlun","ENG[RES1.2]RE&EE Solutions","[RES1.2.1]LED Lights","NRC","Ajlun Governorate",,"2016-01",0,"RE&EE Solutions","ENGINEERING","LED Lights","direct",1701,"AJLOUN","%"
"23","Ajlun","EDU[RES2.1]Teacher Training JOR","[RES2.1.4]Community Training","WVI","Ajlun Governorate",,"2015-10",10,"Teacher Training JOR","EDUCATION","Community Training","direct",1701,"AJLOUN","#"
"24","Ajlun","ENG[RES1.1]Energy Efficiency","[RES1.1.3]Awarenesss events","NRC","Ajlun Governorate",,"2016-01",1412,"Energy Efficiency","ENGINEERING","Awarenesss events","direct",1701,"AJLOUN","USD $"
"25","Ajlun","EDU[RES2.1]Teacher Training JOR","[RES2.1.4]Community Training","WVI","Ajlun Governorate",,"2015-10",103000,"Teacher Training JOR","EDUCATION","Community Training","direct",1701,"AJLOUN","#"
"26","Ajlun","EDU[RES2.1]Teacher Training JOR","[RES2.1.4]Community Training","WVI","Ajlun Governorate",,"2015-10",100,"Teacher Training JOR","EDUCATION","Community Training","direct",1701,"AJLOUN","%"
"27","Al Balqa","HLTH[RES1.1]Primary Health Care","[RES1.1.1]NCDs","PU-AMI","Al Balqa Governorate",,"2016-01",0,"Primary Health Care","HEALTH","NCDs","indirect",1702,"Balqa","%"
"28","Al Balqa","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.3]Medical Equip/Supplies","PU-AMI","Al Balqa Governorate",,"2016-01",1,"Nat.Health System Capacity","HEALTH","Medical Equip/Supplies","indirect",1702,"Balqa","#"
"29","Al Balqa","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.2]Human resources strengthened","PU-AMI","Al Balqa Governorate",,"2016-01",1,"Nat.Health System Capacity","HEALTH","Human resources strengthened","indirect",1702,"Balqa","#"
"30","Al Balqa","WASH[RES1.6]WAJ O&D capacity","[RES1.6.1]WAJ O&D","OXFAM","Al Balqa Governorate",,"2016-01",100,"WAJ O&D capacity","WASH","WAJ O&D","direct",1702,"Balqa","%"
"31","Al Balqa","HLTH[RES1.1]Primary Health Care","[RES1.1.1]NCDs","PU-AMI","Al Balqa Governorate",,"2016-01",1250,"Primary Health Care","HEALTH","NCDs","indirect",1702,"Balqa","USD $"
"32","Al Balqa","HLTH[RES1.1]Primary Health Care","[RES1.1.4]Reprod. Health","PU-AMI","Al Balqa Governorate",,"2016-01",0,"Primary Health Care","HEALTH","Reprod. Health","indirect",1702,"Balqa","%"
"33","Al Balqa","FOOD/LIV[2.4]MSMEs for JOR","[RES2.4.1]Microbusiness start up","OXFAM","Al Balqa Governorate",,"2016-01",0,"MSMEs for JOR","FOOD/LIVELIHOOD","Microbusiness start up","direct",1702,"Balqa","%"
"34","Al Balqa","FOOD/LIV[2.4]MSMEs for JOR","[RES2.4.1]Microbusiness start up","OXFAM","Al Balqa Governorate",,"2016-01",266666,"MSMEs for JOR","FOOD/LIVELIHOOD","Microbusiness start up","direct",1702,"Balqa","USD $"
"35","Al Balqa","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.3]Medical Equip/Supplies","PU-AMI","Al Balqa Governorate",,"2016-01",12500,"Nat.Health System Capacity","HEALTH","Medical Equip/Supplies","indirect",1702,"Balqa","USD $"
"36","Al Balqa","HLTH[RES1.1]Primary Health Care","[RES1.1.1]NCDs","PU-AMI","Al Balqa Governorate",,"2016-01",1,"Primary Health Care","HEALTH","NCDs","indirect",1702,"Balqa","#"
"37","Al Balqa","HLTH[RES3.1]Community Interventions","[RES3.1.2]Comm Rehab services","PU-AMI","Al Balqa Governorate",,"2016-01",2,"Community Interventions","HEALTH","Comm Rehab services","indirect",1702,"Balqa","#"
"38","Al Balqa","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.2]Human resources strengthened","PU-AMI","Al Balqa Governorate",,"2016-01",0,"Nat.Health System Capacity","HEALTH","Human resources strengthened","indirect",1702,"Balqa","%"
"39","Al Balqa","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.3]Medical Equip/Supplies","PU-AMI","Al Balqa Governorate",,"2016-01",0,"Nat.Health System Capacity","HEALTH","Medical Equip/Supplies","indirect",1702,"Balqa","%"
"40","Al Balqa","WASH[RES1.6]WAJ O&D capacity","[RES1.6.1]WAJ O&D","OXFAM","Al Balqa Governorate",,"2016-01",23205,"WAJ O&D capacity","WASH","WAJ O&D","direct",1702,"Balqa","USD $"
"41","Al Balqa","FOOD/LIV[2.4]MSMEs for JOR","[RES2.4.1]Microbusiness start up","OXFAM","Al Balqa Governorate",,"2016-01",150,"MSMEs for JOR","FOOD/LIVELIHOOD","Microbusiness start up","direct",1702,"Balqa","# women"
"42","Al Balqa","HLTH[RES3.1]Community Interventions","[RES3.1.2]Comm Rehab services","PU-AMI","Al Balqa Governorate",,"2016-01",0,"Community Interventions","HEALTH","Comm Rehab services","indirect",1702,"Balqa","%"
"43","Al Balqa","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.2]Human resources strengthened","PU-AMI","Al Balqa Governorate",,"2016-01",1250,"Nat.Health System Capacity","HEALTH","Human resources strengthened","indirect",1702,"Balqa","USD $"
"44","Al Balqa","HLTH[RES1.1]Primary Health Care","[RES1.1.4]Reprod. Health","PU-AMI","Al Balqa Governorate",,"2016-01",43750,"Primary Health Care","HEALTH","Reprod. Health","indirect",1702,"Balqa","USD $"
"45","Al Balqa","HLTH[RES3.1]Community Interventions","[RES3.1.1]Comm Health awareness","PU-AMI","Al Balqa Governorate",,"2016-01",1,"Community Interventions","HEALTH","Comm Health awareness","indirect",1702,"Balqa","#"
"46","Al Balqa","HLTH[RES3.1]Community Interventions","[RES3.1.1]Comm Health awareness","PU-AMI","Al Balqa Governorate",,"2016-01",0,"Community Interventions","HEALTH","Comm Health awareness","indirect",1702,"Balqa","%"
"47","Al Balqa","HLTH[RES3.1]Community Interventions","[RES3.1.1]Comm Health awareness","PU-AMI","Al Balqa Governorate",,"2016-01",1250,"Community Interventions","HEALTH","Comm Health awareness","indirect",1702,"Balqa","USD $"
"48","Al Balqa","HLTH[RES3.1]Community Interventions","[RES3.1.2]Comm Rehab services","PU-AMI","Al Balqa Governorate",,"2016-01",1250,"Community Interventions","HEALTH","Comm Rehab services","indirect",1702,"Balqa","USD $"
"49","Al Balqa","HLTH[RES1.1]Primary Health Care","[RES1.1.4]Reprod. Health","PU-AMI","Al Balqa Governorate",,"2016-01",1,"Primary Health Care","HEALTH","Reprod. Health","indirect",1702,"Balqa","#"
"50","Al Balqa","FOOD/LIV[2.4]MSMEs for JOR","[RES2.4.1]Microbusiness start up","OXFAM","Al Balqa Governorate",,"2016-01",20,"MSMEs for JOR","FOOD/LIVELIHOOD","Microbusiness start up","direct",1702,"Balqa","#"
"51",,"EDU[RES3.3]Alternt Edc for JOR","[RES3.3.1]Non-Formal Educ","SCI","Amman",,"2016-01",1350,"Alternt Edc for JOR","EDUCATION","Non-Formal Educ","direct",1705,"AMMAN","# male"
"52",,"EDU[RES3.3]Alternt Edc for JOR","[RES3.3.1]Non-Formal Educ","SCI","Amman",,"2016-01",3826353,"Alternt Edc for JOR","EDUCATION","Non-Formal Educ","direct",1705,"AMMAN","USD $"
"53",,"EDU[RES2.2]Safe, Violence-Free, Learning for JOR","[RES2.2.3]Engage Parents etc","SCI","Amman",,"2016-01",36,"Safe, Violence-Free, Learning for JOR","EDUCATION","Engage Parents etc","direct",1705,"AMMAN","#"
"54",,"EDU[RES2.2]Safe, Violence-Free, Learning for JOR","[RES2.2.3]Engage Parents etc","SCI","Amman",,"2016-01",3826353,"Safe, Violence-Free, Learning for JOR","EDUCATION","Engage Parents etc","direct",1705,"AMMAN","USD $"
"55",,"SHLT[RES2.4]Affordable Housing","[RES2.4.6]Capacity of Govt increased","UNHABITAT","Amman",,"2016-01",178579.165,"Affordable Housing","SHELTER","Capacity of Govt increased","direct",1705,"AMMAN","USD $"
"56",,"EDU[RES3.3]Alternt Edc for JOR","[RES3.3.1]Non-Formal Educ","SCI","Amman",,"2016-01",3826353,"Alternt Edc for JOR","EDUCATION","Non-Formal Educ","direct",1705,"AMMAN","USD $"
"57",,"EDU[RES3.3]Alternt Edc for JOR","[RES3.3.1]Non-Formal Educ","SCI","Amman",,"2016-01",90,"Alternt Edc for JOR","EDUCATION","Non-Formal Educ","direct",1705,"AMMAN","# female"
"58",,"EDU[RES3.3]Alternt Edc for JOR","[RES3.3.1]Non-Formal Educ","SCI","Amman",,"2016-01",90,"Alternt Edc for JOR","EDUCATION","Non-Formal Educ","direct",1705,"AMMAN","# male"
"59",,"EDU[RES3.3]Alternt Edc for JOR","[RES3.3.1]Non-Formal Educ","SCI","Amman",,"2016-01",100,"Alternt Edc for JOR","EDUCATION","Non-Formal Educ","direct",1705,"AMMAN","%"
"60",,"BN[RES2.1]Expand NAF, MOSD, ZAKAT, cash and in-kind","RES[2.1.3]Basic Needs/Zakat for JOR","SCI","Amman",,"2016-01",1300000,"Expand NAF, MOSD, ZAKAT, cash and in-kin","BASIC NEEDS","Basic Needs/Zakat for JOR","direct",1705,"AMMAN","USD $"
"61",,"PROT[RES1.2]Child Protection for JOR","[RES1.2.3]Families mobilized","SCI","Amman",,"2016-01",2000,"Child Protection for JOR","PROTECTION","Families mobilized","direct",1705,"AMMAN","# women"
"62",,"PROT[RES1.2]Child Protection for JOR","[RES1.2.3]Families mobilized","SCI","Amman",,"2016-01",3826353,"Child Protection for JOR","PROTECTION","Families mobilized","direct",1705,"AMMAN","USD $"
"63",,"BN[RES2.1]Expand NAF, MOSD, ZAKAT, cash and in-kind","RES[2.1.3]Basic Needs/Zakat for JOR","SCI","Amman",,"2016-01",350,"Expand NAF, MOSD, ZAKAT, cash and in-kin","BASIC NEEDS","Basic Needs/Zakat for JOR","direct",1705,"AMMAN","#"
"64",,"EDU[RES2.1]Teacher Training JOR","[RES2.1.2]In-Service Training","SCI","Amman",,"2016-01",54,"Teacher Training JOR","EDUCATION","In-Service Training","direct",1705,"AMMAN","#"
"65",,"EDU[RES2.1]Teacher Training JOR","[RES2.1.2]In-Service Training","SCI","Amman",,"2016-01",3826353,"Teacher Training JOR","EDUCATION","In-Service Training","direct",1705,"AMMAN","USD $"
"66",,"SHLT[RES2.4]Affordable Housing","[RES2.4.6]Capacity of Govt increased","UNHABITAT","Amman",,"2016-01",0,"Affordable Housing","SHELTER","Capacity of Govt increased","direct",1705,"AMMAN","%"
"67",,"EDU[RES3.3]Alternt Edc for JOR","[RES3.3.1]Non-Formal Educ","SCI","Amman",,"2016-01",1350,"Alternt Edc for JOR","EDUCATION","Non-Formal Educ","direct",1705,"AMMAN","# female"
"68",,"SHLT[RES2.4]Affordable Housing","[RES2.4.6]Capacity of Govt increased","UNHABITAT","Amman",,"2016-01",0,"Affordable Housing","SHELTER","Capacity of Govt increased","direct",1705,"AMMAN","#"
"69",,"PROT[RES1.2]Child Protection for JOR","[RES1.2.3]Families mobilized","SCI","Amman",,"2016-01",2000,"Child Protection for JOR","PROTECTION","Families mobilized","direct",1705,"AMMAN","# men"
"70","Amman","EDU[RES2.1]Teacher Training JOR","[RES2.1.1]Induction Training","AVSI","Amman Governorate",,"2016-01",480,"Teacher Training JOR","EDUCATION","Induction Training","direct",1705,"AMMAN","USD $"
"71","Amman","EDU[RES3.1]KG for JOR","[RES3.1.1]KG teachers trained on ECE","WVI","Amman Governorate",,"2015-10",4,"KG for JOR","EDUCATION","KG teachers trained on ECE",,1705,"AMMAN","#"
"72","Amman","FOOD/LIV[2.2]Perm. Emplymt for JOR","[RES2.2.2]Job Matching/Career Guidance","UNWOMEN","Amman Governorate",,"2016-01",0,"Perm. Emplymt for JOR","FOOD/LIVELIHOOD","Job Matching/Career Guidance","direct",1705,"AMMAN","# men"
"73","Amman","HLTH[RES1.1]Primary Health Care","[RES1.1.4]Reprod. Health","PU-AMI","Amman Governorate",,"2016-01",43750,"Primary Health Care","HEALTH","Reprod. Health","indirect",1705,"AMMAN","USD $"
"74","Amman","FOOD/LIV[2.2]Perm. Emplymt for JOR","[RES2.2.2]Job Matching/Career Guidance","UNWOMEN","Amman Governorate",,"2016-01",0,"Perm. Emplymt for JOR","FOOD/LIVELIHOOD","Job Matching/Career Guidance","direct",1705,"AMMAN","%"
"75","Amman","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.3]Medical Equip/Supplies","PU-AMI","Amman Governorate",,"2016-01",1,"Nat.Health System Capacity","HEALTH","Medical Equip/Supplies","indirect",1705,"AMMAN","#"
"76","Amman","FOOD/LIV[2.2]Perm. Emplymt for JOR","[RES2.2.2]Job Matching/Career Guidance","UNWOMEN","Amman Governorate",,"2016-01",512836.25,"Perm. Emplymt for JOR","FOOD/LIVELIHOOD","Job Matching/Career Guidance","direct",1705,"AMMAN","USD $"
"77","Amman","EDU[RES2.1]Teacher Training JOR","[RES2.1.1]Induction Training","AVSI","Amman Governorate",,"2016-01",5,"Teacher Training JOR","EDUCATION","Induction Training","direct",1705,"AMMAN","#"
"78","Amman","JUS[RES2.1]Efficiency of Justice services","[RES2.1.5]ADR services","UNWOMEN","Amman Governorate",,"2016-01",0,"Efficiency of Justice services","JUSTICE","ADR services","direct",1705,"AMMAN","%"
"79","Amman","EDU[RES2.1]Teacher Training JOR","[RES2.1.4]Community Training","WVI","Amman Governorate",,"2015-10",100,"Teacher Training JOR","EDUCATION","Community Training","direct",1705,"AMMAN","%"
"80","Amman","HLTH[RES3.1]Community Interventions","[RES3.1.2]Comm Rehab services","PU-AMI","Amman Governorate",,"2016-01",0,"Community Interventions","HEALTH","Comm Rehab services","indirect",1705,"AMMAN","%"
"81","Amman","JUS[RES2.2]Improved access to legal services","[RES2.2.2]Legal Aid Services","UNWOMEN","Amman Governorate",,"2016-01",0,"Improved access to legal services","JUSTICE","Legal Aid Services","direct",1705,"AMMAN","%"
"82","Amman","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.3]Medical Equip/Supplies","PU-AMI","Amman Governorate",,"2016-01",0,"Nat.Health System Capacity","HEALTH","Medical Equip/Supplies","indirect",1705,"AMMAN","%"
"83","Amman","FOOD/LIV[2.2]Perm. Emplymt for JOR","[RES2.2.2]Job Matching/Career Guidance","UNWOMEN","Amman Governorate",,"2016-01",1000,"Perm. Emplymt for JOR","FOOD/LIVELIHOOD","Job Matching/Career Guidance","direct",1705,"AMMAN","# women"
"84","Amman","ENG[RES1.2]RE&EE Solutions","[RES1.2.3]Solar Water heaters","Mercy Corps","Amman Governorate",,"2016-01",4e+05,"RE&EE Solutions","ENGINEERING","Solar Water heaters","direct",1705,"AMMAN","USD $"
"85","Amman","EDU[RES2.1]Teacher Training JOR","[RES2.1.1]Induction Training","AVSI","Amman Governorate",,"2016-01",0,"Teacher Training JOR","EDUCATION","Induction Training","direct",1705,"AMMAN","%"
"86","Amman","JUS[RES2.2]Improved access to legal services","[RES2.2.3]Legal Awareness","OXFAM","Amman Governorate",,"2016-01",4770,"Improved access to legal services","JUSTICE","Legal Awareness","direct",1705,"AMMAN","# men"
"87","Amman","PROT[RES1.3]Reduce Social Tensions JOR","[RES1.3.2] Social Tensions Projects JOR","NRC","Amman Governorate",,"2016-01",675,"Reduce Social Tensions JOR","PROTECTION"," Social Tensions Projects JOR","direct",1705,"AMMAN","# women"
"88","Amman","HLTH[RES1.1]Primary Health Care","[RES1.1.4]Reprod. Health","PU-AMI","Amman Governorate",,"2016-01",0,"Primary Health Care","HEALTH","Reprod. Health","indirect",1705,"AMMAN","%"
"89","Amman","JUS[RES2.2]Improved access to legal services","[RES2.2.3]Legal Awareness","OXFAM","Amman Governorate",,"2016-01",5850,"Improved access to legal services","JUSTICE","Legal Awareness","direct",1705,"AMMAN","# girls"
"90","Amman","PROT[RES1.3]Reduce Social Tensions JOR","[RES1.3.2] Social Tensions Projects JOR","NRC","Amman Governorate",,"2016-01",3e+05,"Reduce Social Tensions JOR","PROTECTION"," Social Tensions Projects JOR","direct",1705,"AMMAN","USD $"
"91","Amman","FOOD/LIV[2.2]Perm. Emplymt for JOR","[RES2.2.2]Job Matching/Career Guidance","UNWOMEN","Amman Governorate",,"2016-01",0,"Perm. Emplymt for JOR","FOOD/LIVELIHOOD","Job Matching/Career Guidance","direct",1705,"AMMAN","#"
"92","Amman","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.3]Medical Equip/Supplies","PU-AMI","Amman Governorate",,"2016-01",12500,"Nat.Health System Capacity","HEALTH","Medical Equip/Supplies","indirect",1705,"AMMAN","USD $"
"93","Amman","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.2]Human resources strengthened","PU-AMI","Amman Governorate",,"2016-01",1250,"Nat.Health System Capacity","HEALTH","Human resources strengthened","indirect",1705,"AMMAN","USD $"
"94","Amman","EDU[RES2.1]Teacher Training JOR","[RES2.1.4]Community Training","WVI","Amman Governorate",,"2015-10",48820,"Teacher Training JOR","EDUCATION","Community Training","direct",1705,"AMMAN","USD $"
"95","Amman","JUS[RES2.2]Improved access to legal services","[RES2.2.3]Legal Awareness","OXFAM","Amman Governorate",,"2016-01",6188,"Improved access to legal services","JUSTICE","Legal Awareness","direct",1705,"AMMAN","# boys"
"96","Amman","JUS[RES2.2]Improved access to legal services","[RES2.2.3]Legal Awareness","OXFAM","Amman Governorate",,"2016-01",100,"Improved access to legal services","JUSTICE","Legal Awareness","direct",1705,"AMMAN","%"
"97","Amman","HLTH[RES3.1]Community Interventions","[RES3.1.2]Comm Rehab services","PU-AMI","Amman Governorate",,"2016-01",1250,"Community Interventions","HEALTH","Comm Rehab services","indirect",1705,"AMMAN","USD $"
"98","Amman","HLTH[RES3.1]Community Interventions","[RES3.1.2]Comm Rehab services","PU-AMI","Amman Governorate",,"2016-01",4,"Community Interventions","HEALTH","Comm Rehab services","indirect",1705,"AMMAN","#"
"99","Amman","PROT[RES1.3]Reduce Social Tensions JOR","[RES1.3.2] Social Tensions Projects JOR","NRC","Amman Governorate",,"2016-01",0,"Reduce Social Tensions JOR","PROTECTION"," Social Tensions Projects JOR","direct",1705,"AMMAN","%"
"100","Amman","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.2]Human resources strengthened","PU-AMI","Amman Governorate",,"2016-01",1250,"Nat.Health System Capacity","HEALTH","Human resources strengthened","indirect",1705,"AMMAN","USD $"
"101","Amman","JUS[RES2.1]Efficiency of Justice services","[RES2.1.5]ADR services","UNWOMEN","Amman Governorate",,"2016-01",1,"Efficiency of Justice services","JUSTICE","ADR services","direct",1705,"AMMAN","#"
"102","Amman","EDU[RES3.1]KG for JOR","[RES3.1.1]KG teachers trained on ECE","WVI","Amman Governorate",,"2015-10",100,"KG for JOR","EDUCATION","KG teachers trained on ECE",,1705,"AMMAN","%"
"103","Amman","EDU[RES3.1]KG for JOR","[RES3.1.1]KG teachers trained on ECE","WVI","Amman Governorate",,"2015-10",48820,"KG for JOR","EDUCATION","KG teachers trained on ECE",,1705,"AMMAN","USD $"
"104","Amman","PROT[RES1.2]Child Protection for JOR","[RES1.2.4]Comm. Based CP systems","SCI","Amman Governorate",,"2016-01",700,"Child Protection for JOR","PROTECTION","Comm. Based CP systems","direct",1705,"AMMAN","# girls"
"105","Amman","JUS[RES2.2]Improved access to legal services","[RES2.2.2]Legal Aid Services","UNWOMEN","Amman Governorate",,"2016-01",75000,"Improved access to legal services","JUSTICE","Legal Aid Services","direct",1705,"AMMAN","USD $"
"106","Amman","JUS[RES2.1]Efficiency of Justice services","[RES2.1.4]Enhanced info exchange","UNWOMEN","Amman Governorate",,"2016-01",50000,"Efficiency of Justice services","JUSTICE","Enhanced info exchange","direct",1705,"AMMAN","USD $"
"107","Amman","ENG[RES1.2]RE&EE Solutions","[RES1.2.1]LED Lights","NRC","Amman Governorate",,"2016-01",4853,"RE&EE Solutions","ENGINEERING","LED Lights","direct",1705,"AMMAN","USD $"
"108","Amman","JUS[RES2.1]Efficiency of Justice services","[RES2.1.1]Capacity of MoJ/Courts","UNWOMEN","Amman Governorate",,"2016-01",0,"Efficiency of Justice services","JUSTICE","Capacity of MoJ/Courts","direct",1705,"AMMAN","%"
"109","Amman","PROT[RES1.3]Reduce Social Tensions JOR","[RES1.3.2] Social Tensions Projects JOR","NRC","Amman Governorate",,"2016-01",75,"Reduce Social Tensions JOR","PROTECTION"," Social Tensions Projects JOR","direct",1705,"AMMAN","# girls"
"110","Amman","JUS[RES2.2]Improved access to legal services","[RES2.2.3]Legal Awareness","OXFAM","Amman Governorate",,"2016-01",5559,"Improved access to legal services","JUSTICE","Legal Awareness","direct",1705,"AMMAN","# women"
"111","Amman","JUS[RES2.2]Improved access to legal services","[RES2.2.3]Legal Awareness","OXFAM","Amman Governorate",,"2016-01",15750,"Improved access to legal services","JUSTICE","Legal Awareness","direct",1705,"AMMAN","USD $"
"112","Amman","EDU[RES2.1]Teacher Training JOR","[RES2.1.4]Community Training","WVI","Amman Governorate",,"2015-10",103000,"Teacher Training JOR","EDUCATION","Community Training","direct",1705,"AMMAN","#"
"113","Amman","PROT[RES1.1]SGBV for JOR","[RES1.1.2]Multi-sector for JOR","CARE","Amman Governorate",,"2016-01",179,"SGBV for JOR","PROTECTION","Multi-sector for JOR","direct",1705,"AMMAN","# girls"
"114","Amman","HLTH[RES1.1]Primary Health Care","[RES1.1.4]Reprod. Health","PU-AMI","Amman Governorate",,"2016-01",1,"Primary Health Care","HEALTH","Reprod. Health","indirect",1705,"AMMAN","#"
"115","Amman","EDU[RES3.3]Alternt Edc for JOR","[RES3.3.1]Non-Formal Educ","AVSI","Amman Governorate",,"2016-01",15,"Alternt Edc for JOR","EDUCATION","Non-Formal Educ","direct",1705,"AMMAN","# female"
"116","Amman","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.2]Human resources strengthened","PU-AMI","Amman Governorate",,"2016-01",1,"Nat.Health System Capacity","HEALTH","Human resources strengthened","indirect",1705,"AMMAN","#"
"117","Amman","PROT[RES1.1]SGBV for JOR","[RES1.1.2]Multi-sector for JOR","CARE","Amman Governorate",,"2016-01",183,"SGBV for JOR","PROTECTION","Multi-sector for JOR","direct",1705,"AMMAN","# women"
"118","Amman","HLTH[RES4.1]Nat.Health System Capacity","[RES4.1.2]Human resources strengthened","PU-AMI","Amman Governorate",,"2016-01",0,"Nat.Health System Capacity","HEALTH","Human resources strengthened","indirect",1705,"AMMAN","%"
"119","Amman","PROT[RES1.1]SGBV for JOR","[RES1.1.2]Multi-sector for JOR","CARE","Amman Governorate",,"2016-01",60000,"SGBV for JOR","PROTECTION","Multi-sector for JOR","direct",1705,"AMMAN","USD $"
