"","Governorate","sector","activity","partner","Area","Refugee.Camps","End","Total","Objective","Sector","Output","Implementation","RegionCODE","Area2","units"
"11","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","UNICEF","Ajlun Governorate",,"2016-12",3375,"Hygiene in Urban","WASH ","Schools etc Hygi promotion",,1701,"AJLOUN","# of boys"
"12","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","UNFPA","Ajlun Governorate",,"2016-12",6e+05,"Essential Primary Health Care","HEALTH","Reproductive Health Services","indirect",1701,"AJLOUN","$"
"13","Ajlun","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","APS","Ajlun Governorate",,"2016-12",144,"SGBV","PROTECTION","Community members engaged","direct",1701,"AJLOUN","# boys"
"14","Ajlun","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","NRC","Ajlun Governorate",,"2016-12",150000,"Cash for Rent","SHELTER","Cash for Rent","direct",1701,"AJLOUN","USD $"
"15","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",12546,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","USD $"
"16","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",54,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"17","Ajlun","PROT[REF1.3]SGBV","[REF.1.3.3]Capacity of Service Providers","APS","Ajlun Governorate",,"2016-12",52000,"SGBV","PROTECTION","Capacity of Service Providers","direct",1701,"AJLOUN","USD $"
"18","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",120,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"19","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",71,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# men"
"20","Ajlun","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","NRC","Ajlun Governorate",,"2016-12",141,"Cash for Rent","SHELTER","Cash for Rent","direct",1701,"AJLOUN","# boys"
"21","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","Mercy Corps","Ajlun Governorate",,"2016-12",50000,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","$"
"22","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# boys"
"23","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# women"
"24","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# boys"
"25","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","Mercy Corps","Ajlun Governorate",,"2016-12",416,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# girls"
"26","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","UNICEF","Ajlun Governorate",,"2016-12",3125,"Hygiene in Urban","WASH ","Schools etc Hygi promotion",,1701,"AJLOUN","# of girls"
"27","Ajlun","WASH [REF1.4]Services in urban access to water","[REF1.4.1]Schools etc access Water","UNICEF","Ajlun Governorate",,"2016-12",11250,"Services in urban access to water","WASH ","Schools etc access Water","indirect",1701,"AJLOUN","# of girls"
"28","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","UNICEF","Ajlun Governorate",,"2016-12",0,"Hygiene in Urban","WASH ","Schools etc Hygi promotion",,1701,"AJLOUN","%"
"29","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",4,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# girls"
"30","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",0,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"31","Ajlun","PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","UNHCR","Ajlun Governorate",,"2016-12",30,"Child Protection","PROTECTION","Access Multi-Sector services","indirect",1701,"AJLOUN","# BIAs"
"32","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","ACF","Ajlun Governorate",,"2016-12",141,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# girls"
"33","Ajlun","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","NRC","Ajlun Governorate",,"2016-12",120,"Cash for Rent","SHELTER","Cash for Rent","direct",1701,"AJLOUN","# men"
"34","Ajlun","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","NRC","Ajlun Governorate",,"2016-12",0,"Cash for Rent","SHELTER","Cash for Rent","direct",1701,"AJLOUN","%"
"35","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# men"
"36","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","APS","Ajlun Governorate",,"2016-12",100,"Essential Primary Health Care","HEALTH","Comm. Disease Mngt / EPI services","direct",1701,"AJLOUN","%"
"37","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","APS","Ajlun Governorate",,"2016-12",560,"Essential Primary Health Care","HEALTH","Comm. Disease Mngt / EPI services","direct",1701,"AJLOUN","#"
"38","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","UNFPA","Ajlun Governorate",,"2016-12",0,"Essential Primary Health Care","HEALTH","Reproductive Health Services","indirect",1701,"AJLOUN","%"
"39","Ajlun","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","APS","Ajlun Governorate",,"2016-12",144,"SGBV","PROTECTION","Community members engaged","direct",1701,"AJLOUN","# boys"
"40","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","UNICEF","Ajlun Governorate",,"2016-12",3375,"Hygiene in Urban","WASH ","Schools etc Hygi promotion",,1701,"AJLOUN","# of boys"
"41","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","UNFPA","Ajlun Governorate",,"2016-12",944,"Essential Primary Health Care","HEALTH","Reproductive Health Services","indirect",1701,"AJLOUN","#"
"42","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","WVI","Ajlun Governorate",,"2016-03",750,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"43","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",165,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# men"
"44","Ajlun","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","NRC","Ajlun Governorate",,"2016-12",133,"Cash for Rent","SHELTER","Cash for Rent","direct",1701,"AJLOUN","# girls"
"45","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",2,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# girls"
"46","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","Mercy Corps","Ajlun Governorate",,"2016-12",3333,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# men"
"47","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# men"
"48","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",168,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"49","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","APS","Ajlun Governorate",,"2016-12",0,"Essential Primary Health Care","HEALTH","Comm. Disease Mngt / EPI services","direct",1701,"AJLOUN","#"
"50","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","ICMC","Ajlun Governorate",,"2016-12",81,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# MHH"
"51","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","ICMC","Ajlun Governorate",,"2016-12",114325,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","$"
"52","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","UNICEF","Ajlun Governorate",,"2016-12",3375,"Hygiene in Urban","WASH ","Schools etc Hygi promotion",,1701,"AJLOUN","# of boys"
"53","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",80,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# women"
"54","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",50,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"55","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","UNFPA","Ajlun Governorate",,"2016-12",517,"Essential Primary Health Care","HEALTH","Reproductive Health Services","indirect",1701,"AJLOUN","#"
"56","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","UNICEF","Ajlun Governorate",,"2016-12",1424,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# girls"
"57","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","WVI","Ajlun Governorate",,"2016-03",750,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"58","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",80,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"59","Ajlun","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","APS","Ajlun Governorate",,"2016-12",156,"SGBV","PROTECTION","Community members engaged","direct",1701,"AJLOUN","# girls"
"60","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",181,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"61","Ajlun","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","ACF","Ajlun Governorate",,"2016-12",75,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","direct",1701,"AJLOUN","#"
"62","Ajlun","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","APS","Ajlun Governorate",,"2016-12",156,"SGBV","PROTECTION","Community members engaged","direct",1701,"AJLOUN","# women"
"63","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","ICMC","Ajlun Governorate",,"2016-12",66,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","%"
"64","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","UNFPA","Ajlun Governorate",,"2016-12",4590,"Essential Primary Health Care","HEALTH","Reproductive Health Services","indirect",1701,"AJLOUN","#"
"65","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","OXFAM","Ajlun Governorate",,"2016-12",100,"MHPSS / Disabilities","PROTECTION","Reduce Social Tensions thr. Livelih","direct",1701,"AJLOUN","%"
"66","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","ICMC","Ajlun Governorate",,"2016-12",69,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# women"
"67","Ajlun","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","ACF","Ajlun Governorate",,"2016-12",0,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","direct",1701,"AJLOUN","#"
"68","Ajlun","SHLT[REF2.2]Complete Housing Units","[REF2.2.1]Awareness on Housing Rights","NRC","Ajlun Governorate",,"2016-12",2784,"Complete Housing Units","SHELTER","Awareness on Housing Rights","direct",1701,"AJLOUN","# ind."
"69","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","UNHCR","Ajlun Governorate",,"2016-12",1490,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"70","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","WVI","Ajlun Governorate",,"2016-03",500,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"71","Ajlun","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","ACF","Ajlun Governorate",,"2016-12",3,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","direct",1701,"AJLOUN","#"
"72","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","UNICEF","Ajlun Governorate",,"2016-12",3125,"Hygiene in Urban","WASH ","Hygiene promotion","indirect",1701,"AJLOUN","# of girls"
"73","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","Mercy Corps","Ajlun Governorate",,"2016-12",266,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# MHH"
"74","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",275,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# women"
"75","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","Mercy Corps","Ajlun Governorate",,"2016-12",3333,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# women"
"76","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","UNICEF","Ajlun Governorate",,"2016-12",3125,"Hygiene in Urban","WASH ","Hygiene promotion","indirect",1701,"AJLOUN","# of women"
"77","Ajlun","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","APS","Ajlun Governorate",,"2016-12",0,"Essential Primary Health Care","HEALTH","Comm. Disease Mngt / EPI services","direct",1701,"AJLOUN","#"
"78","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","NRC","Ajlun Governorate",,"2016-12",218,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# men"
"79","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","Mercy Corps","Ajlun Governorate",,"2016-12",16666,"MHPSS / Disabilities","PROTECTION","Special Needs/Disabled/Elderly","direct",1701,"AJLOUN","USD $"
"80","Ajlun","JUS[REF1.1]Refugee Legal Assistance","[REF1.1.1]Access to Legal Assistance","NRC","Ajlun Governorate",,"2016-12",0,"Refugee Legal Assistance","JUS","Access to Legal Assistance","direct",1701,"AJLOUN","# female"
"81","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","ICMC","Ajlun Governorate",,"2016-12",0,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","%"
"82","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","Mercy Corps","Ajlun Governorate",,"2016-12",20,"MHPSS / Disabilities","PROTECTION","Special Needs/Disabled/Elderly","direct",1701,"AJLOUN","# women"
"83","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","Mercy Corps","Ajlun Governorate",,"2016-12",67500,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","USD $"
"84","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","UNICEF","Ajlun Governorate",,"2016-12",46477.16,"Hygiene in Urban","WASH ","Schools etc Hygi promotion",,1701,"AJLOUN","USD $"
"85","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","WVI","Ajlun Governorate",,"2016-03",250,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"86","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","UNICEF","Ajlun Governorate",,"2016-12",3125,"Hygiene in Urban","WASH ","Schools etc Hygi promotion",,1701,"AJLOUN","# of girls"
"87","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","ACF","Ajlun Governorate",,"2016-12",48,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# MHH"
"88","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",69,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"89","Ajlun","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","ACF","Ajlun Governorate",,"2016-12",12,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","direct",1701,"AJLOUN","#"
"90","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","NRC","Ajlun Governorate",,"2016-12",69,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# boys"
"91","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","WVI","Ajlun Governorate",,"2016-03",250,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"92","Ajlun","SHLT[REF2.3]Upgrade Housing Units","[REF2.3.1]Upgrade Housing urban/rural","NRC","Ajlun Governorate",,"2016-12",11,"Upgrade Housing Units","SHELTER","Upgrade Housing urban/rural","direct",1701,"AJLOUN","%"
"93","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","NRC","Ajlun Governorate",,"2016-12",80,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# FHH"
"94","Ajlun","PROT[REF1.1]Refugee Rights Respected","[REF1.1.3] Civil Status Documentation","NRC","Ajlun Governorate",,"2016-12",0,"Refugee Rights Respected","PROTECTION"," Civil Status Documentation","direct",1701,"AJLOUN","# boys"
"95","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","UNICEF","Ajlun Governorate",,"2016-12",3125,"Hygiene in Urban","WASH ","Hygiene promotion","indirect",1701,"AJLOUN","# of girls"
"96","Ajlun","PROT[REF1.4]Child Protection","[REF1.4.1]Child Protection systems","WVI","Ajlun Governorate",,"2016-03",1,"Child Protection","PROTECTION","Child Protection systems","direct",1701,"AJLOUN","#"
"97","Ajlun","WASH [REF1.4]Services in urban access to water","[REF1.4.1]Schools etc access Water","UNICEF","Ajlun Governorate",,"2016-12",0,"Services in urban access to water","WASH ","Schools etc access Water","indirect",1701,"AJLOUN","%"
"98","Ajlun","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","UNICEF","Ajlun Governorate",,"2016-12",3375,"Hygiene in Urban","WASH ","Hygiene promotion","indirect",1701,"AJLOUN","# of boys"
"99","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","Mercy Corps","Ajlun Governorate",,"2016-12",416,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# women"
"100","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","Mercy Corps","Ajlun Governorate",,"2016-12",20,"MHPSS / Disabilities","PROTECTION","Special Needs/Disabled/Elderly","direct",1701,"AJLOUN","# men"
"101","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","ACF","Ajlun Governorate",,"2016-12",60,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# girls"
"102","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","NRC","Ajlun Governorate",,"2016-12",50000,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","$"
"103","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","WVI","Ajlun Governorate",,"2016-03",100,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","%"
"104","Ajlun","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","ACF","Ajlun Governorate",,"2016-12",0,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","direct",1701,"AJLOUN","%"
"105","Ajlun","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","ACF","Ajlun Governorate",,"2016-12",3,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","direct",1701,"AJLOUN","#"
"106","Ajlun","FOOD/LIV[1.1]Improve Food Access","[REF 1.1.1]Food Assistance","WFP","Ajlun Governorate",,"2016-12",1974,"Improve Food Access","FOOD/LIVELIHOOD","Food Assistance","indirect",1701,"AJLOUN","# boys"
"107","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","OXFAM","Ajlun Governorate",,"2016-12",39,"MHPSS / Disabilities","PROTECTION","Reduce Social Tensions thr. Livelih","direct",1701,"AJLOUN","# women"
"108","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","NRC","Ajlun Governorate",,"2016-12",42,"Life Saving Basic Needs","BASIC NEEDS","Winterization needs out of Camp","direct",1701,"AJLOUN","# MHH"
"109","Ajlun","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","NRC","Ajlun Governorate",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1701,"AJLOUN","# women"
"110","Ajlun","PROT[REF1.1]Refugee Rights Respected","[REF1.1.3] Civil Status Documentation","NRC","Ajlun Governorate",,"2016-12",260,"Refugee Rights Respected","PROTECTION"," Civil Status Documentation","direct",1701,"AJLOUN","# women"
"111","Ajlun","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","UNHCR","Ajlun Governorate",,"2016-12",0,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1701,"AJLOUN","#"
"112","Ajlun","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","ACF","Ajlun Governorate",,"2016-12",0,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","direct",1701,"AJLOUN","#"
"113","Ajlun","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","ACF","Ajlun Governorate",,"2016-12",0,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","direct",1701,"AJLOUN","#"
