,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,Value,Units,location,region,poptype
3758,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.3]Essential Education Supplies,# provided with individual education kits (school bags and stationery),Camps Syrian Boys (Age 0-17) provided with individual education kits (school bags and stationery),Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNICEF,Yes,269,# of benef,District 10,North,Camp
3759,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.3]Essential Education Supplies,# provided with individual education kits (school bags and stationery),Camps Syrian Girls (Age 0-17) provided with individual education kits (school bags and stationery),Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNICEF,Yes,206,# of benef,District 10,North,Camp
3760,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Boys (Age 0-17) who benefit from remedial classes,Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNICEF,Yes,343,# of benef,District 3,North,Camp
3802,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from technical skills/post-basic education,Camps Syrian Girls (Age 0-17) benefiting from technical skills/post-basic education,Zaatari Camp,Girls,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,21,# of benef,District 8,North,Camp
3829,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Girls (Age 0-17) who benefit from remedial classes,Zaatari Camp,Girls,RI,Camp    - ,Indirect appeal,UNHCR,Yes,159,# of benef,District 5,North,Camp
3831,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Boys (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Boys,WarChild UK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,25,# of benef,District 10,North,Camp
3835,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Girls (Age 0-17) who benefit from remedial classes,Zaatari Camp,Girls,RI,Camp    - ,Indirect appeal,UNICEF,Yes,175,# of benef,District 8,North,Camp
3855,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Camps Syrian Boys (Age 0-17) benefiting from basic learning (literacy and numeracy),Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNICEF,Yes,74,# of benef,District 3,North,Camp
3856,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Camps Syrian Girls (Age 0-17) benefiting from basic learning (literacy and numeracy),Zaatari Camp,Girls,RI,Camp    - ,Indirect appeal,UNICEF,Yes,141,# of benef,District 3,North,Camp
3857,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Camps Syrian Girls (Age 0-17) benefiting from basic learning (literacy and numeracy),Zaatari Camp,Girls,RI,Camp    - ,Indirect appeal,UNICEF,Yes,92,# of benef,District 3,North,Camp
3858,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Camps Syrian Boys (Age 0-17) benefiting from basic learning (literacy and numeracy),Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNICEF,Yes,93,# of benef,District 3,North,Camp
3939,EDUCATION,1/1/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Boys (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNICEF,Yes,93,# of benef,District 3,North,Camp
3955,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Girls (Age 0-17) who benefit from remedial classes,Zaatari Camp,Girls,RI,Camp    - ,Indirect appeal,UNICEF,Yes,164,# of benef,District 8,North,Camp
3957,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Camps Syrian Boys (Age 0-17) registered in Jordanian public schools (primary and secondary),Zaatari Camp,Boys,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,2315,# of benef,District 3,North,Camp
3958,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Camps Syrian Girls (Age 0-17) registered in Jordanian public schools (primary and secondary),Zaatari Camp,Girls,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,162,# of benef,District 3,North,Camp
3965,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from technical skills/post-basic education,Camps Syrian Boys (Age 0-17) benefiting from technical skills/post-basic education,Zaatari Camp,Boys,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,42,# of benef,District 8,North,Camp
4036,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.4]Pre-Primary Education,# accessing non-public KGs including Parent-Child Centres.,Camps Syrian Boys (Age 0-17) accessing non-public KGs including Parent-Child Centres.,Zaatari Camp,Boys,SCI,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1121,# of benef,Campwide,North,Camp
4037,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.4]Pre-Primary Education,# accessing non-public KGs including Parent-Child Centres.,Camps Syrian Girls (Age 0-17) accessing non-public KGs including Parent-Child Centres.,Zaatari Camp,Girls,SCI,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1049,# of benef,Campwide,North,Camp
4041,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Camps Syrian Boys (Age 0-17) benefiting from life skills activities,Zaatari Camp,Boys,SCI,Camp    - ,Indirect appeal,UNICEF,Yes,30,# of benef,Campwide,North,Camp
4061,EDUCATION,1/1/2015,Quality/Protective Learning Environs.,[REF2.1] PSS activities,"# benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being","Camps Syrian Girls (Age 0-17) benefitting from extra-curricular activities, recreation activities and sports that contribute to psychosocial well-being",Zaatari Camp,Girls,RI,Camp    - ,Indirect appeal,UNICEF,Yes,92,# of benef,District 3,North,Camp
4071,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Boys (Age 0-17) who benefit from remedial classes,Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNHCR,Yes,166,# of benef,District 5,North,Camp
4072,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.3]Essential Education Supplies,# provided with individual education kits (school bags and stationery),Camps Syrian Girls (Age 0-17) provided with individual education kits (school bags and stationery),Zaatari Camp,Girls,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,21,# of benef,District 8,North,Camp
4083,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Boys (Age 0-17) who benefit from remedial classes,Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNICEF,Yes,255,# of benef,District 3,North,Camp
4121,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# out-of-school children and youth who (re)enrol in official education,Camps Syrian Girls (Age 0-17) out-of-school children and youth who (re)enrol in official education,Zaatari Camp,Girls,SCI,Camp    - ,Indirect appeal,UNICEF,Yes,11,# of benef,Campwide,North,Camp
4140,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.3]Essential Education Supplies,# provided with individual education kits (school bags and stationery),Camps Syrian Boys (Age 0-17) provided with individual education kits (school bags and stationery),Zaatari Camp,Boys,NRC,Camp    - ,Indirect appeal,UNICEF,Yes,362,# of benef,District 10,North,Camp
4141,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.3]Essential Education Supplies,# provided with individual education kits (school bags and stationery),Camps Syrian Girls (Age 0-17) provided with individual education kits (school bags and stationery),Zaatari Camp,Girls,NRC,Camp    - ,Indirect appeal,UNICEF,Yes,170,# of benef,District 10,North,Camp
4162,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from basic learning (literacy and numeracy),Camps Syrian Boys (Age 0-17) benefiting from basic learning (literacy and numeracy),Zaatari Camp,Boys,SCI,Camp    - ,Indirect appeal,UNICEF,Yes,368,# of benef,Campwide,North,Camp
4163,EDUCATION,1/2/2015,Access to Inclusive Education,[REF1.3]Non-Cert. Informal/Basic Skills,# benefiting from life skills activities,Camps Syrian Boys (Age 0-17) benefiting from life skills activities,Zaatari Camp,Boys,SCI,Camp    - ,Indirect appeal,UNICEF,Yes,665,# of benef,Campwide,North,Camp
4190,EDUCATION,1/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# benefiting  from remedial classes,Camps Syrian Boys (Age 0-17) who benefit from remedial classes,Zaatari Camp,Boys,RI,Camp    - ,Indirect appeal,UNHCR,Yes,161,# of benef,District 5,North,Camp
4192,EDUCATION,1/2/2015,Quality/Protective Learning Environs.,[REF2.3]Essential Education Supplies,# provided with individual education kits (school bags and stationery),Camps Syrian Boys (Age 0-17) provided with individual education kits (school bags and stationery),Zaatari Camp,Boys,NRC,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,11,# of benef,District 8,North,Camp
